#{"t_start": 1620062741.0324998, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-107.643047,50,0.187897
-138.373971,2000,6.915892
-116.01763,268,7.863091
-109.932984,64,8.072291
-112.606366,61,8.272398
-105.206756,182,8.882274
-105.14038,99,9.215848
-100.519832,194,9.867593
-96.804488,114,10.246141
-108.614853,39,10.372537
-104.319485,87,10.655466
-113.938649,77,10.90382
-101.314308,70,11.14222
-104.786987,111,11.531019
-102.838913,76,11.795035
-104.979011,86,12.112611
-102.056548,52,12.2988
-106.047323,197,12.95336
-101.64869,76,13.202909
-101.200871,78,13.479122
-120.875455,92,13.800137
-106.233573,80,14.084315
-105.793277,129,14.502327
-97.923705,86,14.787709
-101.675609,59,14.989777
-98.293348,68,15.218727
-108.174,86,15.507702
-111.962879,286,16.488633
-106.871922,110,16.855774
-103.458788,77,17.10949
-99.57623,80,17.395105
-100.522199,94,17.737995
-152.816155,1435,22.442635
-106.500062,57,22.634594
-115.178423,205,23.313059
-217.296257,1763,29.197878
-101.809553,65,29.425008
-103.793436,53,29.616024
-137.514195,761,32.159227
-110.823601,121,32.563044
-103.303951,70,32.815231
-100.777286,83,33.100843
-98.074309,148,33.6007
-109.994912,355,34.769809
-123.56116,670,37.034287
-93.770282,132,37.516696
-133.486392,684,39.920396
-92.723594,121,40.326796
-108.246399,343,41.484143
-102.441781,123,41.891496
-100.974096,120,42.338215
-95.939367,242,43.277612
-94.390482,116,43.665606
-97.556573,88,43.955144
-106.460505,47,44.120604
-92.197799,387,45.44721
-97.993414,106,45.813982
-101.203525,113,46.204652
-97.950612,156,46.768843
-102.01239,67,47.005271
-106.251898,50,47.193747
-101.748269,262,48.134899
-88.393359,185,48.754097
-92.144891,132,49.19913
-97.529472,131,49.667077
-111.985084,67,49.891684
-108.524982,46,50.040312
-117.030377,125,50.435946
-113.143564,423,51.988934
-101.101619,276,52.940266
-111.385487,67,53.171187
-113.435645,63,53.401119
-112.531786,58,53.580923
-93.262983,107,53.958739
-108.219504,379,55.24094
-100.593368,102,55.595457
-108.713023,49,55.780829
-111.941315,67,56.055504
-110.136896,54,56.268172
-98.68002,90,56.58394
-96.555351,153,57.108917
-98.024302,88,57.420087
-102.081617,543,59.204415
-94.243695,165,59.76451
-93.608328,273,60.667283
-102.971316,328,61.755476
-114.021055,352,62.908339
-105.757849,239,63.67083
-106.226234,483,65.28019
-130.034053,137,65.71628
-108.100597,290,66.650631
-98.832736,341,67.819487
-101.915847,377,69.103382
-116.175179,613,71.138838
-88.725993,263,72.0558
-139.945154,645,74.169199
-88.366843,283,75.061413
-98.221241,83,75.338351
-127.294942,126,75.74801
-96.239609,332,76.825433
-122.498527,135,77.256698
