iteration,num_frames,time_in_s,fitness,loss
0,25,7.033348083496094e-05,0.0,-0.2188737392425537
1,50,0.010608196258544922,0.0,-0.32902637124061584
2,75,0.020931482315063477,0.0,-0.18403224647045135
3,100,0.03168010711669922,0.0,-0.17432400584220886
4,125,0.04219794273376465,0.0,-0.17257891595363617
5,150,0.05244731903076172,0.0,-0.15651439130306244
6,175,0.0629885196685791,0.0,-0.21525248885154724
7,200,0.07342004776000977,0.0,-0.21915017068386078
8,225,0.08379387855529785,0.0,-0.26628488302230835
9,250,0.0944051742553711,0.0,-0.17111097276210785
10,275,0.10472345352172852,0.0,-0.17164017260074615
11,300,0.11539149284362793,0.0,-0.18049602210521698
12,325,0.1257941722869873,0.0,-0.22680117189884186
13,350,0.1375102996826172,0.0,-0.22420357167720795
14,375,0.14921140670776367,0.0,-0.17742463946342468
15,400,0.1600947380065918,0.0,-0.20422117412090302
16,425,0.17063117027282715,0.0,-0.21946389973163605
17,450,0.18150663375854492,0.0,-0.10910583287477493
18,475,0.19191288948059082,0.0,-0.1377188116312027
19,500,0.20281481742858887,0.0,-0.261482834815979
20,525,0.21724915504455566,0.0,-0.1681210696697235
21,550,0.2308816909790039,0.0,-0.1861162930727005
22,575,0.24182868003845215,0.0,-0.29452869296073914
23,600,0.2526223659515381,0.0,-0.20020714402198792
24,625,0.26375555992126465,0.0,-0.15932060778141022
25,650,0.2759675979614258,0.0,-0.1820802539587021
26,675,0.288541316986084,0.0,-0.17491810023784637
27,700,0.29952001571655273,0.0,-0.15413828194141388
28,725,0.3102986812591553,0.0,-0.2117028832435608
29,750,0.3210935592651367,0.0,-0.18810886144638062
30,775,0.33265089988708496,0.0,-0.14108216762542725
31,800,0.34369349479675293,0.0,-0.18667475879192352
32,825,0.3544282913208008,0.0,-0.2372129112482071
33,850,0.36531996726989746,0.0,-0.14615556597709656
34,875,0.3760559558868408,0.0,-0.17423300445079803
35,900,0.38727331161499023,0.0,-0.22837796807289124
36,925,0.3979325294494629,0.0,-0.271416038274765
37,950,0.4085104465484619,0.0,-0.1912202686071396
38,975,0.41851282119750977,0.0,-0.1462901532649994
39,1000,0.4307088851928711,0.0,-0.17376238107681274
40,1025,0.4427461624145508,0.0,-0.1910562813282013
41,1050,0.4552462100982666,0.0,-0.2090660184621811
42,1075,0.46741819381713867,0.0,-0.0932779386639595
43,1100,0.48003053665161133,0.0,-0.24818061292171478
44,1125,0.4918632507324219,0.0,-0.20771758258342743
45,1150,0.5047240257263184,0.0,-0.2542811334133148
46,1175,0.5176308155059814,0.0,-0.1925906538963318
47,1200,0.5301792621612549,0.0,-0.19033950567245483
48,1225,0.5408501625061035,0.0,-0.18081071972846985
49,1250,0.5514552593231201,0.0,-0.10511013865470886
50,1275,0.5620265007019043,0.0,-0.21560969948768616
51,1300,0.5735056400299072,0.0,-0.16106103360652924
52,1325,0.5844912528991699,0.0,-0.2599984407424927
53,1350,0.5951766967773438,0.0,-0.1381426900625229
54,1375,0.605825662612915,0.0,-0.2403932362794876
55,1400,0.616570234298706,0.0,-0.14266280829906464
56,1425,0.6269998550415039,0.0,-0.13886240124702454
57,1450,0.6532490253448486,0.0,-0.2537517845630646
58,1475,0.6746151447296143,0.0,-0.16237907111644745
59,1500,0.6860406398773193,0.0,-0.1747092604637146
60,1525,0.6974077224731445,0.0,-0.15252241492271423
61,1550,0.709320068359375,0.0,-0.16026601195335388
62,1575,0.7208476066589355,0.0,-0.22179751098155975
63,1600,0.7330541610717773,0.0,-0.19601772725582123
64,1625,0.7470695972442627,0.0,-0.18999487161636353
65,1650,0.7579061985015869,0.0,-0.15579107403755188
66,1675,0.7686018943786621,0.0,-0.18095679581165314
67,1700,0.7791783809661865,0.0,-0.24876727163791656
68,1725,0.7895660400390625,0.0,-0.13489960134029388
69,1750,0.8005533218383789,0.0,-0.2161988466978073
70,1775,0.8114166259765625,0.0,-0.21296940743923187
71,1800,0.8219399452209473,0.0,-0.15020671486854553
72,1825,0.8328096866607666,0.0,-0.158010795712471
73,1850,0.8435196876525879,0.0,-0.2392461746931076
74,1875,0.8538486957550049,0.0,-0.24259531497955322
75,1900,0.8640432357788086,0.0,-0.27839094400405884
76,1925,0.8745589256286621,0.0,-0.18946713209152222
77,1950,0.8849952220916748,0.0,-0.13486802577972412
78,1975,0.8956506252288818,0.0,-0.16132459044456482
79,2000,0.9071283340454102,0.0,-0.18326441943645477
80,2025,0.9200758934020996,0.0,-0.16296891868114471
81,2050,0.932927131652832,0.0,-0.2004905492067337
82,2075,0.9454648494720459,0.0,-0.1469174176454544
83,2100,0.9578182697296143,0.0,-0.15812519192695618
84,2125,0.970299243927002,0.0,-0.15250550210475922
85,2150,0.9828364849090576,0.0,-0.1511012315750122
86,2175,0.9955954551696777,0.0,-0.10105255246162415
87,2200,1.0081453323364258,0.0,-0.17694249749183655
88,2225,1.020270824432373,0.0,-0.24709787964820862
89,2250,1.0311479568481445,0.0,-0.19189652800559998
90,2275,1.0419373512268066,0.0,-0.2615334391593933
91,2300,1.0527229309082031,0.0,-0.16144545376300812
92,2325,1.0633776187896729,0.0,-0.17553260922431946
93,2350,1.0735676288604736,0.0,-0.23326179385185242
94,2375,1.0834977626800537,0.0,-0.15411140024662018
95,2400,1.0934102535247803,0.0,-0.27013784646987915
96,2425,1.103391170501709,0.0,-0.14737416803836823
97,2450,1.1136879920959473,0.0,-0.17879998683929443
98,2475,1.1240065097808838,0.0,-0.23632588982582092
99,2500,1.1361608505249023,0.0,-0.15900927782058716
100,2525,1.1476554870605469,0.0,-0.22828613221645355
101,2550,1.1589627265930176,0.0,-0.2210923582315445
102,2575,1.169954538345337,0.0,-0.19851046800613403
103,2600,1.1814744472503662,0.0,-0.25119972229003906
104,2625,1.1921064853668213,0.0,-0.20581993460655212
105,2650,1.2030384540557861,0.0,-0.18057969212532043
106,2675,1.2143232822418213,0.0,-0.2814216613769531
107,2700,1.2251484394073486,0.0,-0.18830160796642303
108,2725,1.2366023063659668,0.0,-0.16144944727420807
109,2750,1.2484889030456543,0.0,-0.16573581099510193
110,2775,1.2589824199676514,0.0,-0.20567019283771515
