num_frames,fitness,loss
25,0.0,
50,0.0,
75,0.0,
100,0.0,
125,0.0,
150,0.0,
175,0.0,
200,0.0,
225,0.0,
250,0.0,
275,0.0,
300,0.0,
325,0.0,
350,0.0,
375,0.0,
400,0.0,
425,0.0,
450,0.0,
475,0.0,
500,0.0,
525,0.0,
550,0.0,
575,0.0,
600,0.0,
625,0.0,
650,0.0,
675,0.0,
700,0.0,
725,0.0,
750,0.0,
775,0.0,
800,0.0,
825,0.0,
850,0.0,
875,0.0,
900,0.0,
925,0.0,
950,0.0,
975,0.0,
1000,0.0,
1025,-1201.1961906839163,
1050,-1201.1961906839163,
1075,-1201.1961906839163,
1100,-1201.1961906839163,
1125,-1201.1961906839163,
1150,-1201.1961906839163,
1175,-1201.1961906839163,
1200,-1201.1961906839163,
1225,-1201.1961906839163,
1250,-1201.1961906839163,
1275,-1201.1961906839163,
1300,-1201.1961906839163,
1325,-1201.1961906839163,
1350,-1201.1961906839163,
1375,-1201.1961906839163,
1400,-1201.1961906839163,
1425,-1201.1961906839163,
1450,-1201.1961906839163,
1475,-1201.1961906839163,
1500,-1201.1961906839163,
1525,-1201.1961906839163,
1550,-1201.1961906839163,
1575,-1201.1961906839163,
1600,-1201.1961906839163,
1625,-1201.1961906839163,
1650,-1201.1961906839163,
1675,-1201.1961906839163,
1700,-1201.1961906839163,
1725,-1201.1961906839163,
1750,-1201.1961906839163,
1775,-1201.1961906839163,
1800,-1201.1961906839163,
1825,-1201.1961906839163,
1850,-1201.1961906839163,
1875,-1201.1961906839163,
1900,-1201.1961906839163,
1925,-1201.1961906839163,
1950,-1201.1961906839163,
1975,-1201.1961906839163,
2000,-1201.1961906839163,
2025,-1327.5370729923247,
2050,-1327.5370729923247,
2075,-1327.5370729923247,
2100,-1327.5370729923247,
2125,-1327.5370729923247,
2150,-1327.5370729923247,
2175,-1327.5370729923247,
2200,-1327.5370729923247,
2225,-1327.5370729923247,
2250,-1327.5370729923247,
2275,-1327.5370729923247,
2300,-1327.5370729923247,
2325,-1327.5370729923247,
2350,-1327.5370729923247,
2375,-1327.5370729923247,
2400,-1327.5370729923247,
2425,-1327.5370729923247,
2450,-1327.5370729923247,
2475,-1327.5370729923247,
2500,-1327.5370729923247,
2525,-1327.5370729923247,
2550,-1327.5370729923247,
2575,-1327.5370729923247,
2600,-1327.5370729923247,
2625,-1327.5370729923247,
2650,-1327.5370729923247,
2675,-1327.5370729923247,
2700,-1327.5370729923247,
2725,-1327.5370729923247,
2750,-1327.5370729923247,
2775,-1327.5370729923247,
2800,-1327.5370729923247,
2825,-1327.5370729923247,
2850,-1327.5370729923247,
2875,-1327.5370729923247,
2900,-1327.5370729923247,
2925,-1327.5370729923247,
2950,-1327.5370729923247,
2975,-1327.5370729923247,
3000,-1327.5370729923247,
3025,-1415.7699174642562,
3050,-1415.7699174642562,
3075,-1415.7699174642562,
3100,-1415.7699174642562,
3125,-1415.7699174642562,
3150,-1415.7699174642562,
3175,-1415.7699174642562,
3200,-1415.7699174642562,
3225,-1415.7699174642562,
3250,-1415.7699174642562,
3275,-1415.7699174642562,
3300,-1415.7699174642562,
3325,-1415.7699174642562,
3350,-1415.7699174642562,
3375,-1415.7699174642562,
3400,-1415.7699174642562,
3425,-1415.7699174642562,
3450,-1415.7699174642562,
3475,-1415.7699174642562,
3500,-1415.7699174642562,
3525,-1415.7699174642562,
3550,-1415.7699174642562,
3575,-1415.7699174642562,
3600,-1415.7699174642562,
3625,-1415.7699174642562,
3650,-1415.7699174642562,
3675,-1415.7699174642562,
3700,-1415.7699174642562,
3725,-1415.7699174642562,
3750,-1415.7699174642562,
3775,-1415.7699174642562,
3800,-1415.7699174642562,
3825,-1415.7699174642562,
3850,-1415.7699174642562,
3875,-1415.7699174642562,
3900,-1415.7699174642562,
3925,-1415.7699174642562,
3950,-1415.7699174642562,
3975,-1415.7699174642562,
4000,-1415.7699174642562,
4025,-1745.3298827648164,
4050,-1745.3298827648164,
4075,-1745.3298827648164,
4100,-1745.3298827648164,
4125,-1745.3298827648164,
4150,-1745.3298827648164,
4175,-1745.3298827648164,
4200,-1745.3298827648164,
4225,-1745.3298827648164,
4250,-1745.3298827648164,
4275,-1745.3298827648164,
4300,-1745.3298827648164,
4325,-1745.3298827648164,
4350,-1745.3298827648164,
4375,-1745.3298827648164,
4400,-1745.3298827648164,
4425,-1745.3298827648164,
4450,-1745.3298827648164,
4475,-1745.3298827648164,
4500,-1745.3298827648164,
4525,-1745.3298827648164,
4550,-1745.3298827648164,
4575,-1745.3298827648164,
4600,-1745.3298827648164,
4625,-1745.3298827648164,
4650,-1745.3298827648164,
4675,-1745.3298827648164,
4700,-1745.3298827648164,
4725,-1745.3298827648164,
4750,-1745.3298827648164,
4775,-1745.3298827648164,
4800,-1745.3298827648164,
4825,-1745.3298827648164,
4850,-1745.3298827648164,
4875,-1745.3298827648164,
4900,-1745.3298827648164,
4925,-1745.3298827648164,
4950,-1745.3298827648164,
4975,-1745.3298827648164,
5000,-1745.3298827648164,
5025,-1534.7368989412673,
5050,-1534.7368989412673,
5075,-1534.7368989412673,
5100,-1534.7368989412673,
5125,-1534.7368989412673,
5150,-1534.7368989412673,
5175,-1534.7368989412673,
5200,-1534.7368989412673,
5225,-1534.7368989412673,
5250,-1534.7368989412673,
5275,-1534.7368989412673,
5300,-1534.7368989412673,
5325,-1534.7368989412673,
5350,-1534.7368989412673,
5375,-1534.7368989412673,
5400,-1534.7368989412673,
5425,-1534.7368989412673,
5450,-1534.7368989412673,
5475,-1534.7368989412673,
5500,-1534.7368989412673,
5525,-1534.7368989412673,
5550,-1534.7368989412673,
5575,-1534.7368989412673,
5600,-1534.7368989412673,
5625,-1534.7368989412673,
5650,-1534.7368989412673,
5675,-1534.7368989412673,
5700,-1534.7368989412673,
5725,-1534.7368989412673,
5750,-1534.7368989412673,
5775,-1534.7368989412673,
5800,-1534.7368989412673,
5825,-1534.7368989412673,
5850,-1534.7368989412673,
5875,-1534.7368989412673,
5900,-1534.7368989412673,
5925,-1534.7368989412673,
5950,-1534.7368989412673,
5975,-1534.7368989412673,
6000,-1534.7368989412673,
6025,-1287.4650262199343,
6050,-1287.4650262199343,
6075,-1287.4650262199343,
6100,-1287.4650262199343,
