#{"t_start": 1620059530.810925, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-118.556645,128,0.450557
-108.891655,51,0.613457
-185.396017,1390,5.000681
-154.73951,964,8.01212
-196.857223,1931,14.333865
-106.482606,296,15.280703
-126.858713,468,16.757045
-122.655177,365,17.910016
-173.124463,1161,21.520326
-121.096143,560,23.2726
-100.367093,85,23.557384
-102.924054,56,23.731736
-103.005804,55,23.901984
-158.646229,1562,28.826445
-103.704629,60,29.022936
-106.521251,49,29.175438
-117.536412,666,31.263288
-110.927715,204,31.905646
-97.678134,110,32.260504
-105.395995,40,32.384789
-114.543928,273,33.211875
-107.428312,148,33.696775
-106.40641,353,34.771256
-106.853683,225,35.492593
-106.452602,357,36.634413
-121.23939,480,38.144343
-98.808679,83,38.402872
-101.882099,87,38.675884
-95.391896,129,39.078229
-97.484345,136,39.514658
-91.838263,90,39.804595
-101.74134,79,40.064474
-92.022409,252,40.864827
-108.009162,290,41.800144
-103.159365,125,42.188812
-98.99348,186,42.762091
-114.12953,76,43.011098
-99.105098,208,43.667796
-114.637431,72,43.890266
-105.272431,48,44.052497
-95.86111,235,44.785293
-88.837157,191,45.384465
-95.713877,86,45.668376
-90.837096,127,46.08305
-106.192648,45,46.227919
-102.549993,105,46.576408
-103.606737,108,46.909804
-122.909851,102,47.234887
-105.089189,261,48.075108
-112.213127,88,48.351219
-96.312089,135,48.798199
-88.168332,405,50.072951
-112.185194,60,50.269274
-110.481719,76,50.512035
-96.438581,86,50.779297
-110.424008,60,50.981283
-107.744663,46,51.128136
-109.871774,65,51.339342
-107.437512,47,51.492064
-110.867742,54,51.688359
-114.665548,63,51.899285
-102.764357,93,52.193164
-116.099431,67,52.413681
-98.601022,86,52.69008
-107.811385,44,52.828048
-105.072693,289,53.74794
-120.46044,85,54.003151
-114.160084,59,54.19745
-99.482899,175,54.753491
-128.893338,108,55.090898
-98.790574,107,55.43229
-99.301282,134,55.868542
-108.472913,274,56.707297
-102.84445,222,57.400715
-98.064585,84,57.684752
-97.614157,136,58.115053
-98.094871,123,58.494548
-101.259308,180,59.062027
-97.891815,192,59.649402
-116.914728,415,60.929022
-104.689575,117,61.297858
-144.911838,771,63.696135
-129.583721,410,64.975275
-95.211656,156,65.484399
-126.968065,106,65.817444
-127.037337,107,66.155019
-95.84182,116,66.514358
-112.041344,410,67.810013
-142.846937,716,70.07406
-81.67971,223,70.764558
-122.148199,96,71.057642
-95.236963,233,71.776617
-97.556872,104,72.104633
-112.204542,410,73.38907
-99.182043,93,73.691262
-108.694052,39,73.81322
-118.341842,154,74.288291
-186.07804,1202,77.971647
-97.065039,85,78.235775
-125.893957,588,80.102671
-102.268789,293,81.016264
-104.865288,327,82.037973
-123.293684,536,83.682661
-117.059835,101,84.003963
-94.562458,91,84.281671
-117.285108,461,85.7603
-99.563088,234,86.483198
-97.985139,94,86.769483
-92.193236,313,87.764458
-113.592507,360,88.93608
-100.641321,381,90.126771
-159.03468,1057,93.406128
-99.13565,252,94.189527
-200.566251,1531,98.971225
-95.28616,204,99.621902
-83.924515,205,100.269632
-98.696382,190,100.861373
-120.22585,111,101.211134
-116.092071,75,101.465117
-121.450094,111,101.825111
-104.711922,324,102.82306
-98.559012,213,103.470671
-118.733632,409,104.735489
-92.674902,373,105.89487
-149.190406,954,108.891649
-98.751025,114,109.257755
-117.84747,92,109.567178
-91.497015,177,110.120271
-117.689095,93,110.417794
-93.608623,100,110.735813
-114.202916,380,111.935445
-136.784373,696,114.110418
-121.615207,108,114.456191
-125.150702,574,116.268995
-116.568551,102,116.58278
-129.971499,175,117.144272
-119.311348,115,117.526248
-97.578985,107,117.873385
-108.158027,395,119.170183
-95.415242,580,120.977534
-102.643042,288,121.902362
-120.980028,114,122.261719
-170.910752,1363,126.523199
-112.219657,58,126.708779
-95.500285,125,127.106219
-97.236618,168,127.628883
-120.208778,86,127.89016
-94.988006,87,128.175801
-91.795078,139,128.608238
-93.506285,90,128.89914
-92.669343,115,129.255646
-95.17273,99,129.563874
-92.33366,134,129.988849
-80.657808,324,131.015074
-111.135343,52,131.194625
-168.785368,1084,134.571624
-160.629637,1143,138.069717
-99.142959,262,138.893783
-101.288289,239,139.65385
-108.636802,50,139.807761
-111.74071,74,140.03556
-156.812125,742,142.393571
-148.136993,2000,148.657277
-117.832057,96,148.970465
-119.379296,98,149.271603
-101.020214,198,149.947379
-112.944783,59,150.147117
-169.784311,879,153.12632
-108.57792,60,153.33036
-106.636686,43,153.469112
-98.833531,142,154.010313
-105.267107,2000,161.324291
-105.679301,589,163.464755
-181.861665,935,166.882744
-90.698851,185,167.577751
-68.787835,1491,172.50629
-141.187236,456,173.927069
-83.15184,174,174.483164
-112.878174,81,174.771615
-109.212978,78,175.03364
-86.048402,200,175.755691
-106.832145,71,176.004619
-88.432383,244,176.812785
-115.741649,84,177.085099
-80.978588,303,178.126803
-121.213596,297,179.15868
-100.383578,273,180.115162
-119.349905,253,180.908316
-157.67903,1393,185.646069
-101.774204,194,186.291786
-95.173784,120,186.693161
-113.942276,63,186.90112
-121.217394,76,187.155605
-93.453133,196,187.836509
-118.539265,78,188.093437
-117.16837,70,188.322416
-120.764058,84,188.624253
-122.516396,64,188.825648
-89.287007,194,189.484176
-118.545113,55,189.67021
-79.081147,145,190.17709
-123.153196,106,190.534918
-101.467154,221,191.244679
-116.040687,225,192.014329
-121.927873,111,192.398172
-118.654246,562,194.261124
-114.777439,60,194.453567
-113.54496,61,194.658773
-75.483358,474,196.261128
-120.491518,66,196.494293
-96.335437,194,197.125748
-118.258822,184,197.734876
-98.619151,191,198.396653
-94.451475,164,198.943553
-123.841511,196,199.595545
-120.143051,61,199.808741
-120.914103,103,200.152065
-114.751758,54,200.328824
-107.899793,45,200.481722
-117.934271,65,200.704763
-120.856362,80,200.974473
-121.005609,69,201.201138
-99.838185,218,201.927178
