#{"t_start": 1620059530.8203833, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-115.923188,54,0.205909
-148.097422,906,3.052497
-112.716648,53,3.221838
-106.211982,76,3.467929
-137.212725,2000,9.798531
-116.12025,532,11.588209
-118.922043,80,11.86391
-104.382433,72,12.089829
-107.1042,68,12.313185
-98.924782,80,12.568444
-103.316399,52,12.737378
-106.908257,104,13.075559
-107.065543,65,13.280415
-104.771151,112,13.627865
-100.076879,91,13.915872
-99.469191,121,14.33697
-110.895047,211,15.010468
-97.744405,76,15.24805
-102.916188,78,15.502949
-97.572295,88,15.78203
-108.177991,221,16.479371
-99.485606,96,16.781847
-98.0932,105,17.114579
-119.31068,2000,23.35969
-124.478377,609,25.288531
-109.708101,45,25.432845
-127.464174,649,27.458534
-140.802598,1141,31.05684
-99.291089,62,31.258229
-101.478877,71,31.481575
-102.525808,67,31.687117
-103.119388,98,31.998407
-107.640231,286,32.883746
-110.847542,117,33.245542
-106.613384,49,33.398551
-113.072186,92,33.706328
-104.967739,61,33.889717
-104.497353,60,34.078178
-102.553994,229,34.77516
-98.743328,139,35.223018
-110.364599,71,35.443471
-106.517746,169,35.994492
-137.283374,677,38.118322
-100.430857,89,38.407701
-96.556772,93,38.691919
-97.086035,221,39.383206
-114.494474,85,39.664553
-92.333246,132,40.09361
-103.120503,72,40.318188
-90.049879,88,40.603517
-106.391345,50,40.76143
-100.331878,184,41.343846
-107.182267,53,41.532474
-106.626401,45,41.673302
-93.31806,144,42.119837
-102.866514,122,42.494281
-92.838326,299,43.441808
-125.274225,142,43.893883
-107.286566,49,44.058177
-86.027113,437,45.425816
-96.321564,108,45.781362
-107.085018,47,45.933391
-94.381903,161,46.458903
-99.370587,258,47.276717
-103.195924,187,47.874942
-103.375466,76,48.117427
-100.813223,176,48.690843
-100.908742,88,48.965281
-111.026949,57,49.153238
-99.80507,263,49.971611
-98.665519,69,50.196385
-91.526703,188,50.801552
-98.641534,132,51.233914
-121.094883,107,51.595017
-113.411453,60,51.795158
