iteration,num_frames,time_in_s,species_id,size,age,stagnation,fitness,adjusted_fitness
0,40000,0.0015387535095214844,1,200,0,0,,
1,80000,0.6470866203308105,1,200,1,1,-1363.4489889217336,0.4058776644796561
2,120000,1.3235137462615967,1,200,2,1,-1334.0770250871353,0.46188671311112833
3,160000,1.952620506286621,1,200,3,1,-1283.9786823404972,0.4116902143323079
4,200000,2.573115110397339,1,200,4,1,-1280.750502253998,0.4270615409728502
5,240000,3.2563109397888184,1,200,5,2,-1295.117748806037,0.4066421602687001
6,280000,3.9052257537841797,1,200,6,1,-1221.8862349180515,0.44786170121304403
7,320000,4.538881778717041,1,200,7,1,-1220.8721325071376,0.4477843576034701
8,360000,5.176295280456543,1,200,8,2,-1243.7183562542778,0.5278535027148098
9,400000,5.777656555175781,1,200,9,3,-1235.0098098638023,0.43682183307817557
10,440000,6.385460615158081,1,200,10,4,-1238.9629026526177,0.48615710939898377
11,480000,7.037306308746338,1,200,11,5,-1280.004835523245,0.4524019246235835
12,520000,7.638531684875488,1,200,12,1,-1215.3127278187958,0.5045770694017935
