iteration,num_frames,time_in_s,species_id,size,age,stagnation,fitness,adjusted_fitness
0,3415,0.0012886524200439453,1,200,0,0,,
1,10913,0.0874629020690918,1,200,1,1,148.0,0.06482142857142857
2,19753,0.21187281608581543,1,200,2,1,200.0,0.15359375
3,31749,0.3125731945037842,1,200,3,2,200.0,0.1885416666666667
4,43165,0.43362998962402344,1,200,4,3,200.0,0.27072916666666663
5,55912,0.5517573356628418,1,200,5,4,200.0,0.255625
6,71165,0.6808505058288574,1,200,6,5,200.0,0.29028645833333333
7,85990,0.8418490886688232,1,200,7,6,200.0,0.355546875
8,103088,0.977095365524292,1,200,8,7,200.0,0.3444010416666667
9,121114,1.1091985702514648,1,200,9,8,200.0,0.40359375
10,141124,1.2604811191558838,1,200,10,9,200.0,0.42776041666666664
11,158451,1.3944456577301025,1,200,11,10,200.0,0.47942708333333334
12,176262,1.53676438331604,1,200,12,11,200.0,0.4095572916666667
13,193744,1.6689341068267822,1,200,13,12,200.0,0.42216145833333335
14,213453,1.8124842643737793,1,200,14,13,200.0,0.41359375
15,233165,1.9630155563354492,1,200,15,14,200.0,0.4715885416666667
16,253016,2.109534502029419,1,200,16,15,200.0,0.4716666666666667
17,272047,2.2470057010650635,1,200,17,16,200.0,0.47528645833333333
18,292386,2.4281392097473145,1,200,18,17,200.0,0.45393229166666665
19,311594,2.577239751815796,1,200,19,18,200.0,0.48799479166666665
20,334963,2.7305164337158203,1,200,20,19,200.0,0.4585416666666667
21,356238,2.886495351791382,1,200,21,20,200.0,0.5669010416666667
22,374670,3.0203938484191895,1,200,22,21,200.0,0.5123697916666666
23,393266,3.150848627090454,1,190,23,22,200.0,0.4383333333333333
23,393266,3.1508638858795166,2,10,1,1,,
24,413275,3.3087050914764404,1,143,24,23,200.0,0.4362938596491228
24,413275,3.308720111846924,2,57,2,1,200.0,0.5625
25,435963,3.4755070209503174,1,129,25,24,200.0,0.4853583916083916
25,435963,3.47552227973938,2,71,3,2,200.0,0.4644554093567252
26,458356,3.626211166381836,1,121,26,25,200.0,0.5418281653746769
26,458356,3.626221179962158,2,79,4,3,200.0,0.5625
27,478428,3.771144151687622,1,116,27,26,200.0,0.5455836776859504
27,478428,3.7711613178253174,2,84,5,4,200.0,0.5352056962025317
28,501072,3.937034845352173,1,118,28,27,200.0,0.4061153017241379
28,501072,3.9370479583740234,2,82,6,5,200.0,0.5845114087301587
