iteration,num_frames,time_in_s,species_id,size,age,stagnation,fitness,adjusted_fitness
0,12110,0.0014061927795410156,1,97,0,0,,
0,12110,0.0014150142669677734,2,53,0,0,,
1,24017,0.5125377178192139,1,83,1,1,-440.93554955267655,0.7219683205111757
1,24017,0.5125529766082764,2,67,1,1,-264.9985186554893,0.8346093731318023
2,35752,0.941586971282959,1,62,2,1,-328.93078796973543,0.6631075887365248
2,35752,0.9415972232818604,2,88,2,1,-223.4847690506795,0.7639253036939254
3,47773,2.248387575149536,1,75,3,1,-264.7091486161142,0.6997451640823864
3,47773,2.248399496078491,2,67,3,1,-199.88594902972662,0.7676832998660462
3,47773,2.248406171798706,3,8,1,1,,
4,58766,2.60497784614563,2,49,4,1,-184.37608128413174,0.8698397731889069
4,58766,2.6049928665161133,1,63,4,1,-164.17457987148364,0.8814699276036319
4,58766,2.6050004959106445,3,37,2,1,-142.2879149327762,0.8940702431772628
5,70235,3.0010969638824463,1,59,5,2,-189.39320718084673,0.740621454367183
5,70235,3.0011112689971924,2,54,5,1,-155.7585155017521,0.7798213013409054
5,70235,3.001121759414673,3,36,3,1,-140.4909664723746,0.7976150005169079
6,82095,3.4197170734405518,1,54,6,3,-170.56003397068,0.6368387634215997
6,82095,3.419727087020874,2,57,6,1,-145.02298677837268,0.6636524573402293
6,82095,3.419733762741089,3,38,4,2,-144.0299801996112,0.6646951062518903
7,93407,3.7955472469329834,2,65,7,2,-215.36637251215524,0.7490096668325834
7,93407,3.795558214187622,1,42,7,4,-193.92462802211506,0.7703810357288218
7,93407,3.7955639362335205,3,42,5,3,-141.95063160444658,0.8221844443073411
8,104735,4.1697678565979,3,45,6,4,-161.06067789157038,0.606616694775623
8,104735,4.169780731201172,2,53,8,3,-149.76071961055266,0.6176788835373397
8,104735,4.169790983200073,1,48,8,1,-125.47697159356522,0.641451661960526
8,104735,4.169799566268921,4,3,1,1,,
9,115883,4.570577383041382,2,43,9,4,-182.74057921281894,0.724389617651084
9,115883,4.570594310760498,3,26,7,5,-164.07530990926494,0.749546286510281
9,115883,4.570604562759399,1,47,9,2,-136.57860895432262,0.7866057786287336
9,115883,4.570613384246826,4,34,2,1,-97.5330760710289,0.8392305506157566
10,128310,5.282483100891113,2,43,10,5,-149.20410913927225,0.7826346610724042
10,128310,5.282493829727173,4,29,3,2,-135.1322038582525,0.8004168078752314
10,128310,5.282515048980713,3,34,8,1,-128.82714214571567,0.8083842814144713
10,128310,5.282520532608032,1,39,10,3,-125.72494649091409,0.8123044114496826
10,128310,5.282549142837524,5,6,1,1,,
11,140070,5.6870996952056885,3,31,9,2,-156.5458988934141,0.5902032646635986
11,140070,5.6871137619018555,5,27,2,1,-146.1422569310243,0.6043990659156793
11,140070,5.687123775482178,2,36,11,1,-143.93568481689516,0.6074099403088773
11,140070,5.6871325969696045,1,27,11,4,-142.45904740998262,0.6094248165633368
11,140070,5.6871418952941895,4,31,4,3,-133.91174625891782,0.6210876351052318
12,152425,6.14150857925415,1,22,12,5,-202.92726990087297,0.6159463734293368
12,152425,6.141520261764526,2,29,12,2,-157.2914169431617,0.6879579922447463
12,152425,6.141530275344849,5,35,3,1,-134.31660120868216,0.7242113668569996
12,152425,6.141540288925171,4,34,5,4,-129.2327050847953,0.7322335591913848
12,152425,6.141550064086914,3,31,10,1,-128.2775132482138,0.7337408151310346
12,152425,6.14155650138855,6,1,1,1,,
13,163951,6.592471361160278,1,20,13,6,-188.09734599151778,0.5054200933167503
13,163951,6.5924835205078125,5,32,4,2,-156.41465340291168,0.5381106685771243
13,163951,6.592519521713257,3,23,11,2,-150.38758990146545,0.5443294636634969
13,163951,6.5925281047821045,6,23,2,1,-120.0196257269419,0.5756634866659679
