#{"t_start": 1620066158.1902986, "env_id": "BipedalWalker-v3"}
r,l,t
-107.249388,45,252.530092
-106.310349,50,252.706092
-104.647593,53,252.862246
-122.275155,1600,257.381425
-105.770474,38,257.496053
-105.325162,58,257.663277
-107.341187,67,257.844859
-105.321472,43,257.965768
-113.915193,1600,262.431777
-103.293625,65,262.626977
-104.611041,44,262.772531
-105.841582,53,262.915233
-103.652428,57,263.081328
-107.008722,53,263.224417
-118.106351,1600,267.67515
-111.340416,66,267.86998
-122.071598,139,268.255375
-106.141173,41,268.375725
-109.046493,88,268.597348
-121.074311,1600,273.132304
-107.037056,55,273.287683
-107.464545,51,273.431635
-111.206573,92,273.701948
-124.216894,112,274.029927
-106.4076,62,274.209196
-116.97084,1600,278.705574
-113.789322,71,278.908024
-106.66858,104,279.191413
-120.746871,90,279.44469
-105.223468,42,279.555403
