#{"t_start": 1620067622.2958467, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-168.714637,1073,3.05461
-120.146621,78,3.292106
-100.761446,173,3.8099
-119.493157,58,4.002822
-99.997951,74,4.231092
-104.419443,64,4.426161
-107.086246,96,4.724286
-103.848451,56,4.890998
-103.396259,78,5.11673
-151.329313,2000,10.878319
-175.176509,1199,14.311551
-189.362502,1334,18.187545
-105.281803,81,18.424294
-103.686877,53,18.617426
-104.535382,57,18.791674
-101.347571,51,18.947014
-104.351844,50,19.091368
-104.277269,42,19.225874
-103.127489,49,19.377673
-189.246564,1147,22.701646
-105.626708,60,22.907437
-148.177666,691,24.921082
-106.131723,43,25.051678
-105.15406,46,25.196422
-104.943151,39,25.316268
-104.698773,80,25.552153
-103.952714,74,25.771241
-101.670374,73,25.975795
-105.288851,90,26.277461
-102.175909,53,26.435328
-110.192305,190,27.027841
-103.113542,88,27.285499
-105.969093,53,27.440782
-102.893558,84,27.68131
-130.649392,498,29.112848
-114.838849,166,29.6013
-106.598509,132,29.975885
-101.125865,101,30.272252
-156.604573,904,32.970465
-105.343399,68,33.16338
-106.510312,55,33.323114
-101.105775,60,33.515658
-101.824254,62,33.709054
-104.014725,51,33.862993
-94.468676,91,34.127188
-105.392649,178,34.648027
-179.644649,1159,37.930524
-99.355528,64,38.12787
-105.410107,43,38.260432
-104.044531,51,38.417486
-101.517921,48,38.566998
-104.769499,44,38.701666
-100.753578,61,38.888079
-104.452537,51,39.036742
-104.420159,54,39.198351
-100.40109,67,39.397913
-139.960351,954,42.150712
-105.625376,47,42.301248
-104.171209,98,42.642926
-103.037541,110,42.969351
-130.722806,441,44.263146
-103.814701,80,44.503144
-111.093428,181,45.055503
-105.35467,43,45.174337
-105.063031,43,45.30405
-105.900624,36,45.422648
-109.324702,47,45.556081
-113.470143,270,46.361434
-105.24656,48,46.505131
-102.585749,113,46.880623
-102.438738,63,47.066856
-101.884595,72,47.283482
-95.489817,93,47.565964
-100.792662,58,47.747097
-104.592057,48,47.895997
-103.930671,63,48.092064
-101.446882,53,48.259715
-103.421703,47,48.413154
-102.799751,57,48.613547
-101.154484,101,48.926001
-104.7748,44,49.064399
-105.390834,82,49.32282
-104.362929,57,49.498262
-103.10835,73,49.724868
-103.35643,57,49.899249
-100.691645,69,50.115955
-106.642957,85,50.362079
-114.37909,432,51.652236
-110.35532,57,51.831318
-159.614696,2000,57.674165
-205.604663,1384,61.676515
-101.378376,140,62.094701
-104.629557,47,62.226821
-105.263226,64,62.420466
-109.408996,81,62.702755
-103.096853,65,62.892606
-109.440459,150,63.343678
-104.961976,35,63.445759
-157.453212,897,65.998817
-106.23611,36,66.107579
-182.245926,1042,69.098311
-155.169148,826,71.471196
-135.869521,920,74.122288
-106.474108,37,74.234014
-122.428682,235,74.906795
-109.621834,136,75.292906
-106.806442,89,75.575162
-103.932809,86,75.818159
-108.995085,54,75.981409
-105.405325,45,76.114999
-106.482015,194,76.722636
-183.781115,1425,80.93728
-105.212687,46,81.087142
-110.375151,74,81.312298
-106.166375,37,81.438454
-104.223149,70,81.6517
-105.150833,64,81.846722
-110.281612,84,82.09778
-108.499838,105,82.415574
-105.831235,37,82.566909
-103.034543,54,82.745813
-105.419023,38,82.85952
-107.854018,47,83.003027
-107.629418,48,83.141175
-109.668683,56,83.303572
-107.45313,90,83.568228
-106.296851,51,83.727186
-104.443239,60,83.894752
-105.199677,45,84.030261
-104.936043,42,84.149438
-106.179089,69,84.35751
-110.833298,142,84.816844
-248.956546,1779,90.007798
-103.324582,47,90.148359
-102.133014,62,90.34167
-106.209655,87,90.637713
-102.251651,86,90.913047
-104.333679,43,91.044495
-103.67976,64,91.239508
-106.024389,86,91.50824
-108.370002,83,91.759005
-106.710829,89,92.031402
-115.052057,90,92.292905
-106.04227,56,92.466476
-105.41392,66,92.655228
-109.142457,42,92.775607
-110.277641,61,92.956328
-107.03664,42,93.081091
-103.048763,57,93.258217
-118.438249,96,93.539579
-115.869682,70,93.750466
-106.549969,97,94.033791
-126.395933,512,95.513754
-104.959556,84,95.754336
-126.890908,444,97.007432
-108.119288,47,97.144572
-109.261768,144,97.565925
-112.496208,66,97.765548
-114.051918,189,98.315563
-118.104406,169,98.868506
-106.531347,36,98.972495
-107.087957,53,99.135073
-109.434561,50,99.288675
-106.088353,35,99.390654
-107.08694,34,99.494631
-106.713659,38,99.619743
-108.025432,35,99.73475
-113.016152,137,100.134459
-105.983788,51,100.298368
-109.248487,113,100.672858
-109.008336,103,100.986531
-104.006672,57,101.149505
-105.067109,58,101.333113
-102.996367,109,101.664958
-101.9973,87,101.925671
-103.78099,62,102.10528
-106.119161,38,102.216562
-100.293543,85,102.474724
-106.468366,50,102.650405
-100.845617,56,102.819559
-105.192447,69,103.021209
-105.947527,43,103.159005
-104.378347,45,103.285832
-112.814926,123,103.642791
-104.717254,55,103.809096
-109.275763,80,104.044447
-109.314232,57,104.210232
-106.052179,49,104.359879
-103.762201,85,104.621217
-106.170292,76,104.861923
-102.643412,97,105.155719
-104.813757,44,105.292435
-106.383424,77,105.521118
-106.18493,77,105.761162
-105.915678,89,106.01353
-104.962419,49,106.162248
-105.518913,39,106.279556
-104.29592,49,106.435918
-104.678622,41,106.590723
-106.026544,120,106.967467
-118.585237,103,107.281407
-102.309852,78,107.513775
-105.623449,59,107.693651
-117.40402,71,107.907237
-102.192116,68,108.116209
-105.827028,68,108.326438
-104.813162,67,108.532236
-125.411556,519,110.075546
-107.386687,44,110.202102
-103.750653,80,110.43849
-101.645762,63,110.67016
-104.500018,70,110.873603
-128.321488,531,112.440361
-105.456481,42,112.595036
-152.858012,785,114.812347
-105.489244,41,114.938426
-116.990625,97,115.224817
-148.102471,739,117.361788
-115.592615,77,117.588376
-103.312634,56,117.761951
-103.335522,62,117.93678
-108.921101,40,118.057863
-106.765751,37,118.166185
-104.20638,45,118.296371
-106.378939,46,118.435697
-100.386094,79,118.660716
-104.675525,45,118.791896
-102.691992,61,118.975998
-174.01223,2000,124.799253
-107.315283,70,125.004255
-108.560779,90,125.261208
-107.371334,103,125.550449
-105.15819,63,125.728258
-113.955072,132,126.101414
-99.080987,122,126.446266
-104.873638,52,126.601164
-104.519726,68,126.800258
-106.290857,42,126.924292
-120.306983,93,127.191275
-104.709301,70,127.390796
-118.892522,86,127.633496
-102.340337,74,127.848381
-105.421703,49,127.989353
-104.005381,64,128.186969
-106.091926,43,128.31487
-105.384983,38,128.429848
-107.264299,37,128.572182
-105.109408,72,128.780182
-210.047603,1280,132.650591
-105.999282,36,132.757935
-108.758133,43,132.893983
-106.74333,61,133.076245
-106.558356,47,133.219394
-104.834264,77,133.44284
-103.263625,54,133.618343
-103.525637,58,133.781907
-117.223599,159,134.235131
-105.237376,50,134.379928
-112.235628,108,134.690366
-103.20163,61,134.865417
-138.466435,560,136.53846
-105.180612,43,136.667528
-105.727559,39,136.774165
-105.092418,55,136.94035
-105.080364,48,137.098844
-107.186356,45,137.240523
-107.204592,36,137.354661
-109.470363,104,137.660675
-104.791796,95,137.96041
-105.668086,45,138.101309
-107.840041,58,138.282409
-104.049653,65,138.485136
-104.692281,66,138.713491
-139.403966,495,140.152173
-107.035339,51,140.30314
-124.439356,118,140.665278
-172.820228,864,143.221768
-106.529376,37,143.332747
-104.645304,58,143.500211
-104.828228,56,143.666844
-104.369738,51,143.821981
-105.826894,79,144.056384
-104.768676,44,144.179559
-109.186653,52,144.338581
-109.678737,83,144.611457
-127.356417,404,145.804557
-105.588294,92,146.078351
-106.723429,127,146.438375
-102.304131,73,146.682405
-104.055804,52,146.837983
-104.47386,52,146.992179
-129.188671,525,148.498663
-101.913972,99,148.789976
-106.505903,47,148.929028
-103.321024,65,149.131639
-105.258486,58,149.31272
-110.693656,72,149.544452
-110.31244,61,149.728467
-103.69941,78,149.951607
-109.016824,50,150.106369
-105.268493,46,150.247476
-104.7902,77,150.474225
-105.220869,46,150.646484
-107.165437,67,150.838507
-107.267181,100,151.131461
-107.217248,46,151.271251
-111.59531,68,151.472125
-104.716278,53,151.632375
-109.945238,42,151.76058
-108.127577,98,152.049219
-104.391943,88,152.322015
-104.260664,59,152.491999
-105.959847,82,152.739875
-107.064384,68,152.944137
-107.311682,44,153.069803
-106.474853,44,153.213507
-106.081256,53,153.383148
-116.766169,153,153.853229
-111.867391,91,154.120107
-107.533454,40,154.239577
-106.481369,69,154.446991
-107.706866,57,154.648442
-107.083683,45,154.78108
-107.192196,39,154.902673
-105.14306,83,155.16293
-102.188859,49,155.326146
-103.256924,65,155.521786
-106.032545,34,155.632406
-108.9612,55,155.800192
-112.303326,64,155.979772
-105.142675,39,156.103549
-115.156951,119,156.448438
-102.738188,107,156.797778
-107.541553,53,156.967831
-106.625274,38,157.09382
-120.237005,179,157.626808
-107.500452,55,157.796753
-107.36302,36,157.911546
-106.654105,60,158.092122
-103.816452,50,158.242975
-105.786509,40,158.365918
-104.950065,46,158.493108
-102.440708,81,158.732854
-108.472012,84,158.984004
-108.13348,82,159.226395
-144.252801,626,161.125683
-106.924886,64,161.315305
-104.555287,37,161.439306
-106.329784,39,161.579207
-106.083576,50,161.736521
-186.730786,2000,167.699463
-106.743896,37,167.816888
-104.103276,57,167.975304
-104.90514,79,168.208739
-105.047748,47,168.34225
-108.554496,69,168.544786
-110.814366,97,168.840531
-107.512863,34,168.943227
-100.85503,106,169.256316
-102.679047,64,169.445183
-102.204019,47,169.592801
-109.180548,45,169.726098
-106.216398,59,169.898343
-103.352963,62,170.076035
-105.610089,53,170.24102
-125.032562,460,171.632004
-105.354827,41,171.759497
-104.999619,34,171.862331
-104.737556,69,172.057621
-105.819764,38,172.165889
-106.907612,54,172.32869
-106.225845,42,172.444922
-109.328908,83,172.714612
-106.630128,69,172.917602
-103.67967,81,173.173611
-102.48798,79,173.421186
-102.035247,70,173.635208
-109.473945,46,173.772002
-102.615578,56,173.939059
-103.626017,53,174.10815
-105.681248,53,174.272865
-105.755036,50,174.428292
-101.528227,73,174.687755
-104.499528,43,174.809997
-104.67522,43,174.941775
-103.010768,62,175.141213
-106.364038,38,175.257465
-112.896433,82,175.496332
-103.799696,48,175.647101
-105.067446,40,175.766179
-104.33526,65,175.960558
-102.725758,72,176.173156
-171.687091,838,178.678714
-118.57576,155,179.129371
-107.96661,49,179.275508
-115.9063,67,179.485329
-115.843192,536,181.097733
-104.384818,38,181.212566
-120.754229,83,181.466158
-125.890624,473,182.843119
-102.820177,48,182.985937
-119.665426,706,185.10869
-103.433911,85,185.373491
-104.700576,50,185.516641
-105.418697,59,185.700275
-104.948289,34,185.799494
-101.914137,85,186.049855
-102.561112,64,186.239114
-107.297481,49,186.388364
-103.488523,50,186.548261
-104.834884,45,186.690249
-105.371062,38,186.80996
-105.165651,51,186.964139
-100.382655,53,187.127233
-105.855461,35,187.230123
-103.828638,54,187.381931
-104.003136,70,187.607703
-103.933873,39,187.728827
-102.563305,63,187.919878
-103.521408,42,188.0521
-104.511314,42,188.180346
-103.84029,58,188.365512
-124.392128,468,189.748027
-111.986486,205,190.354458
-104.219227,57,190.527808
-102.581161,76,190.747527
-106.761722,60,190.92306
-105.882073,54,191.088151
-104.254371,71,191.300262
-145.934362,653,193.234355
-107.934271,40,193.354194
-114.177108,76,193.580976
-104.764567,57,193.746804
-142.453464,651,195.689994
-106.847464,41,195.826777
-107.842156,63,196.025542
-126.393155,486,197.496859
-106.611825,47,197.628037
-110.95722,51,197.77648
-97.401232,80,198.003535
-105.001811,38,198.125447
-114.309053,70,198.320679
-105.855357,44,198.45715
-103.706154,47,198.588337
-102.3876,67,198.794151
-102.845337,53,198.953953
-105.456003,37,199.074413
-143.583523,880,201.625124
-104.953989,39,201.733928
-104.60941,36,201.841091
-120.317438,422,203.066473
-107.869364,108,203.397499
-108.2924,125,203.796899
-102.894066,66,203.986701
-104.497453,86,204.244805
-104.963949,75,204.458987
-119.64665,83,204.73161
-102.735886,94,204.992413
-104.123581,74,205.218901
-122.916824,202,205.824936
-107.394242,50,205.975338
-104.610909,46,206.115227
-103.741967,64,206.301808
-105.871898,44,206.434555
-104.370618,68,206.6385
-103.088921,87,206.891042
-104.309752,46,207.036331
-103.666365,59,207.205348
-105.697649,59,207.385637
-116.636393,100,207.688728
-108.7897,96,207.966668
-108.936536,52,208.131413
-105.768006,38,208.241903
