#{"t_start": 1620069146.7148561, "env_id": "CartPole-v0"}
r,l,t
13.0,13,0.069954
42.0,42,0.198715
24.0,24,0.256354
17.0,17,0.304031
9.0,9,0.320437
10.0,10,0.344022
21.0,21,0.396962
20.0,20,0.442417
11.0,11,0.467357
22.0,22,0.515594
49.0,49,0.630083
20.0,20,0.67699
12.0,12,0.704487
26.0,26,0.76975
21.0,21,0.8156
14.0,14,0.847402
19.0,19,0.886121
30.0,30,0.953779
14.0,14,0.989786
18.0,18,1.035645
12.0,12,1.062824
21.0,21,1.122586
9.0,9,1.145111
13.0,13,1.180639
36.0,36,1.270614
27.0,27,1.33116
29.0,29,1.398042
61.0,61,1.534468
24.0,24,1.589161
42.0,42,1.685601
15.0,15,1.719763
25.0,25,1.775905
15.0,15,1.80997
35.0,35,1.889333
16.0,16,1.925982
23.0,23,1.974959
20.0,20,2.020312
10.0,10,2.042829
28.0,28,2.10923
13.0,13,2.141102
43.0,43,2.236014
15.0,15,2.270382
15.0,15,2.305418
21.0,21,2.352107
10.0,10,2.375429
21.0,21,2.437232
40.0,40,2.53212
10.0,10,2.555266
36.0,36,2.636082
20.0,20,2.681551
14.0,14,2.71435
38.0,38,2.796256
14.0,14,2.829429
11.0,11,2.85443
30.0,30,2.928269
34.0,34,3.006272
11.0,11,3.02966
12.0,12,3.059384
20.0,20,3.108292
49.0,49,3.215498
14.0,14,3.247968
14.0,14,3.281039
11.0,11,3.305254
13.0,13,3.335872
22.0,22,3.383734
13.0,13,3.41551
23.0,23,3.464303
26.0,26,3.526269
18.0,18,3.564677
40.0,40,3.65557
22.0,22,3.708156
24.0,24,3.758277
28.0,28,3.822787
32.0,32,3.892643
14.0,14,3.925137
27.0,27,3.989296
21.0,21,4.036219
14.0,14,4.069049
28.0,28,4.155575
12.0,12,4.186058
20.0,20,4.23271
23.0,23,4.281756
12.0,12,4.312435
11.0,11,4.337202
65.0,65,4.492295
12.0,12,4.517378
41.0,41,4.608896
91.0,91,4.823739
25.0,25,4.880889
38.0,38,4.96483
22.0,22,5.017937
13.0,13,5.044414
23.0,23,5.100136
11.0,11,5.124752
13.0,13,5.156244
30.0,30,5.224891
33.0,33,5.29692
24.0,24,5.350738
23.0,23,5.405038
85.0,85,5.601218
30.0,30,5.672197
40.0,40,5.763274
29.0,29,5.823792
21.0,21,5.87492
24.0,24,5.925165
42.0,42,6.020801
42.0,42,6.151633
23.0,23,6.203986
29.0,29,6.269558
17.0,17,6.305648
21.0,21,6.351832
36.0,36,6.431397
20.0,20,6.476692
50.0,50,6.590121
68.0,68,6.742764
28.0,28,6.808182
21.0,21,6.857166
14.0,14,6.889003
63.0,63,7.028301
90.0,90,7.231353
23.0,23,7.284563
70.0,70,7.443418
79.0,79,7.620253
28.0,28,7.6797
21.0,21,7.726173
32.0,32,7.805578
67.0,67,7.956146
29.0,29,8.021772
22.0,22,8.069105
117.0,117,8.365075
29.0,29,8.430244
13.0,13,8.456576
16.0,16,8.491684
63.0,63,8.636475
37.0,37,8.718264
17.0,17,8.759962
74.0,74,8.926134
29.0,29,8.988093
49.0,49,9.098877
40.0,40,9.188916
59.0,59,9.322224
44.0,44,9.422237
63.0,63,9.56031
34.0,34,9.638237
11.0,11,9.662329
20.0,20,9.706829
31.0,31,9.779677
16.0,16,9.818778
73.0,73,9.988151
35.0,35,10.065664
43.0,43,10.191951
56.0,56,10.321234
76.0,76,10.49724
79.0,79,10.696323
15.0,15,10.729725
55.0,55,10.852112
45.0,45,10.958216
46.0,46,11.058651
68.0,68,11.210281
70.0,70,11.367403
57.0,57,11.493896
116.0,116,11.759408
86.0,86,11.951841
60.0,60,12.087066
119.0,119,12.354247
80.0,80,12.53152
146.0,146,12.863895
104.0,104,13.098129
64.0,64,13.237151
61.0,61,13.376655
39.0,39,13.4588
53.0,53,13.579055
106.0,106,13.820033
140.0,140,14.17696
61.0,61,14.312309
109.0,109,14.559217
84.0,84,14.752768
40.0,40,14.841806
79.0,79,15.021634
57.0,57,15.149464
61.0,61,15.28993
60.0,60,15.423177
45.0,45,15.526691
57.0,57,15.658068
60.0,60,15.795294
65.0,65,15.948069
36.0,36,16.028214
65.0,65,16.176691
36.0,36,16.259757
55.0,55,16.382683
39.0,39,16.472071
36.0,36,16.551698
48.0,48,16.660695
47.0,47,16.762756
36.0,36,16.841191
42.0,42,16.939012
49.0,49,17.048789
34.0,34,17.135065
39.0,39,17.225739
39.0,39,17.316917
49.0,49,17.425521
37.0,37,17.506486
44.0,44,17.607605
27.0,27,17.665845
38.0,38,17.752764
35.0,35,17.831925
41.0,41,17.922187
53.0,53,18.042032
49.0,49,18.198542
41.0,41,18.290842
28.0,28,18.35078
57.0,57,18.480763
55.0,55,18.621543
53.0,53,18.737026
35.0,35,18.812929
54.0,54,18.939378
32.0,32,19.015309
42.0,42,19.10987
40.0,40,19.201881
66.0,66,19.347335
52.0,52,19.465617
36.0,36,19.543466
49.0,49,19.653645
43.0,43,19.745661
63.0,63,19.889976
52.0,52,20.007683
48.0,48,20.116604
35.0,35,20.194284
26.0,26,20.251183
49.0,49,20.360624
35.0,35,20.438365
78.0,78,20.608692
48.0,48,20.71743
49.0,49,20.827055
38.0,38,20.907812
53.0,53,21.027463
94.0,94,21.243493
35.0,35,21.321489
46.0,46,21.423781
56.0,56,21.551419
49.0,49,21.665452
84.0,84,21.854319
46.0,46,21.956267
47.0,47,22.059415
58.0,58,22.223021
38.0,38,22.309416
41.0,41,22.401982
45.0,45,22.503409
38.0,38,22.585382
32.0,32,22.660271
61.0,61,22.795731
50.0,50,22.906472
48.0,48,23.01889
41.0,41,23.113464
63.0,63,23.250783
42.0,42,23.348411
47.0,47,23.455029
52.0,52,23.574323
68.0,68,23.72341
65.0,65,23.867952
59.0,59,23.999853
57.0,57,24.127122
57.0,57,24.258448
34.0,34,24.339932
58.0,58,24.469291
79.0,79,24.65553
54.0,54,24.783742
49.0,49,24.895426
57.0,57,25.020411
