#{"t_start": 1620059218.4056997, "env_id": "BipedalWalker-v3"}
r,l,t
-103.802774,69,0.247836
-112.833088,72,0.492297
-214.76398,1202,4.22204
-139.13478,1600,9.135727
-116.041071,46,9.274315
-138.477778,1600,14.319984
-137.135871,1600,19.397182
-122.090241,75,19.637657
-100.325552,64,19.841447
-102.128245,50,20.002338
-106.198659,118,20.3835
-102.632381,45,20.52729
-103.696667,91,20.835498
-105.110009,96,21.143761
-103.534297,58,21.356319
-101.46305,80,21.635908
-105.167456,84,21.897799
-119.695152,255,22.717618
-102.011016,85,22.990453
-103.81867,60,23.187078
-125.226084,344,24.295851
-102.555247,71,24.522912
-103.741246,91,24.824638
-102.361062,60,25.015241
-109.040687,1600,30.138048
-104.606847,61,30.327837
-118.603959,405,31.574015
-102.459548,75,31.81108
-98.158475,121,32.201903
-106.962399,66,32.412701
-109.135585,211,33.054029
-64.235896,1600,38.002223
-112.696226,361,39.107306
-48.709177,1600,44.052325
-46.764527,1600,49.058705
-40.405689,1600,54.044462
27.94479,1600,58.914136
142.601506,1600,63.785873
-100.439562,91,64.097662
16.835237,734,66.352108
232.191031,1490,71.000466
-110.994352,57,71.178009
-102.571429,58,71.364726
-105.716306,73,71.591592
-110.436326,99,71.892962
-113.162678,68,72.121772
-79.246907,217,72.785764
-50.20441,540,74.457143
-107.536587,43,74.603197
-118.278238,67,74.810835
-104.383722,69,75.050918
-104.553815,89,75.353522
-110.406725,67,75.562865
-108.710158,49,75.727391
-106.207992,59,75.93526
-110.409588,50,76.096808
-107.968958,53,76.261492
-119.709368,59,76.455903
-105.75628,47,76.609972
-112.953732,50,76.776021
-111.912655,53,76.962291
-112.568474,55,77.153686
-112.059394,62,77.372217
-119.227337,96,77.684557
-122.274957,71,77.923967
-113.466211,58,78.119874
-112.689774,59,78.313423
-115.969441,63,78.517626
-115.50362,56,78.723362
-114.398494,51,78.889852
-114.253784,58,79.081668
-118.553838,59,79.272528
-112.732734,54,79.453593
-110.269638,41,79.590079
-113.366743,57,79.77856
-112.686947,47,79.946512
-106.576728,126,80.383951
-104.964899,73,80.602284
-111.168483,112,80.96265
-112.633776,75,81.207096
-112.162316,52,81.374076
-109.83454,54,81.549262
-116.564342,145,82.036595
-108.580318,44,82.177421
-112.643271,60,82.366767
-109.158022,54,82.541325
-113.89294,58,82.734353
-115.116368,93,83.054128
-121.046287,177,83.645997
-103.07414,89,83.956249
-109.70656,41,84.091847
-107.477571,41,84.22172
-110.268008,95,84.532557
-111.62058,54,84.715946
-105.39876,95,85.032609
-113.19309,62,85.245327
-112.864753,58,85.449354
-111.438677,52,85.608452
-109.877546,58,85.802382
-111.190001,49,85.966316
-112.465219,53,86.148133
-110.994921,46,86.304085
-109.042309,47,86.459923
-107.740056,99,86.792455
-109.559821,47,86.951081
-109.882946,49,87.117768
-106.456802,143,87.58294
-109.449753,60,87.786285
-110.968857,67,88.026234
-111.364627,50,88.183012
-112.239408,48,88.364965
-112.070053,81,88.659287
-112.257677,41,88.79332
-119.468488,139,89.234131
-111.738312,47,89.388796
-111.087538,50,89.551818
-111.560971,48,89.708723
-111.731118,47,89.857486
-114.218196,75,90.142095
-97.6758,112,90.515903
-100.894171,119,90.904426
-98.583256,86,91.200037
-100.156007,102,91.53304
-96.116702,142,92.032329
-92.899344,164,92.55252
-106.214112,49,92.709502
-91.971054,100,93.033812
-106.852987,48,93.184201
-106.648339,47,93.336414
-117.315449,111,93.688553
-105.703233,49,93.851779
-109.256496,50,94.024799
-117.893868,125,94.434706
-111.170994,46,94.575681
-106.544588,51,94.741568
-110.016805,53,94.913712
-124.083996,106,95.264361
-111.452311,52,95.428489
-109.326964,47,95.573205
-97.636725,101,95.889629
-112.484697,60,96.078928
-117.637976,66,96.289321
-117.554957,74,96.520751
-117.587417,65,96.731387
-112.013839,44,96.890452
-118.556698,78,97.139183
-112.855661,52,97.315768
-114.515986,59,97.508421
-109.024262,83,97.772971
-108.880409,55,97.96273
-117.670487,66,98.176343
-110.948911,40,98.304588
-122.897617,116,98.690018
-116.650624,63,98.885768
-112.439233,45,99.031086
-115.5564,62,99.24803
-112.883682,46,99.397157
-116.444735,65,99.617149
-124.162917,100,99.943058
-123.907089,102,100.290438
-114.250449,59,100.479683
-116.383225,76,100.72152
-113.026391,83,100.989837
-109.894171,73,101.226581
-115.704105,69,101.445197
-97.998652,157,101.994702
-122.040073,103,102.313623
-116.649512,64,102.522044
-113.849019,54,102.69941
-109.680862,81,102.956663
-123.632891,77,103.198236
-111.876755,67,103.428348
-110.376109,67,103.625789
-111.623309,87,103.898297
-109.928002,87,104.172928
-119.386777,88,104.453441
-110.641104,42,104.59117
-111.344024,47,104.742862
-122.034483,86,105.037766
-117.675762,65,105.243062
-108.191731,77,105.493946
-125.161486,103,105.806953
-104.615777,69,106.044367
-99.946554,132,106.447508
-102.594523,76,106.698389
-114.283267,61,106.886415
-115.329608,74,107.118911
-103.021713,73,107.355771
-110.232059,55,107.53205
-100.935537,121,107.9203
-99.753935,93,108.232442
-101.556105,87,108.50244
-104.845298,71,108.72605
-93.467567,133,109.149199
-105.375232,80,109.400266
-97.293389,92,109.69733
-108.12883,42,109.842507
-96.648416,103,110.183692
-117.232319,105,110.514565
-100.033487,72,110.743676
-127.429194,120,111.117943
-113.535306,78,111.356513
-110.74333,50,111.547528
-93.051425,438,112.898874
-109.900628,72,113.129349
