#{"t_start": 1620060735.0747147, "env_id": "CartPole-v0"}
r,l,t
19.0,19,0.036192
30.0,30,0.08643
10.0,10,0.104975
30.0,30,0.154158
41.0,41,0.22419
18.0,18,0.257523
18.0,18,0.29142
27.0,27,0.336475
15.0,15,0.361821
23.0,23,0.401739
27.0,27,0.444169
28.0,28,0.492498
44.0,44,0.563277
13.0,13,0.586898
28.0,28,0.636208
19.0,19,0.664373
13.0,13,0.688028
35.0,35,0.748302
19.0,19,0.781075
13.0,13,0.800046
50.0,50,0.883148
44.0,44,0.959647
67.0,67,1.076719
21.0,21,1.113779
13.0,13,1.136771
125.0,125,1.371782
149.0,149,1.615269
200.0,200,1.96437
152.0,152,2.230681
154.0,154,2.480743
161.0,161,2.769522
197.0,197,3.12034
200.0,200,3.473572
118.0,118,3.673713
135.0,135,3.906115
149.0,149,4.151412
123.0,123,4.355377
200.0,200,4.703279
200.0,200,5.038517
147.0,147,5.300596
188.0,188,5.640815
200.0,200,5.975816
200.0,200,6.321068
200.0,200,6.651511
200.0,200,6.982028
200.0,200,7.363336
200.0,200,7.69813
200.0,200,8.038097
200.0,200,8.379177
200.0,200,8.70557
200.0,200,9.047105
167.0,167,9.327804
200.0,200,9.658385
200.0,200,10.01112
200.0,200,10.340342
200.0,200,10.691297
200.0,200,11.028506
200.0,200,11.387036
127.0,127,11.61201
114.0,114,11.805867
124.0,124,12.007756
178.0,178,12.319144
190.0,190,12.64299
162.0,162,12.912097
168.0,168,13.213471
200.0,200,13.568324
153.0,153,13.825214
110.0,110,14.030121
111.0,111,14.225379
145.0,145,14.466304
136.0,136,14.691797
147.0,147,14.972137
102.0,102,15.141058
80.0,80,15.271906
59.0,59,15.372705
87.0,87,15.517125
82.0,82,15.655135
100.0,100,15.833151
83.0,83,15.973668
47.0,47,16.049937
59.0,59,16.151314
53.0,53,16.242703
99.0,99,16.410888
61.0,61,16.511243
76.0,76,16.651587
47.0,47,16.72991
45.0,45,16.807805
70.0,70,16.926325
67.0,67,17.041016
45.0,45,17.11783
51.0,51,17.202384
54.0,54,17.326646
45.0,45,17.400464
54.0,54,17.498915
49.0,49,17.577973
49.0,49,17.661245
36.0,36,17.721611
51.0,51,17.814445
42.0,42,17.881404
37.0,37,17.941307
42.0,42,18.014273
54.0,54,18.107206
52.0,52,18.191916
71.0,71,18.31399
45.0,45,18.390745
57.0,57,18.488314
78.0,78,18.615748
64.0,64,18.730962
149.0,149,18.972748
100.0,100,19.13977
94.0,94,19.335114
52.0,52,19.442782
94.0,94,19.617207
182.0,182,19.921116
140.0,140,20.168052
158.0,158,20.435307
71.0,71,20.554202
200.0,200,20.898307
133.0,133,21.122784
149.0,149,21.370714
140.0,140,21.604074
200.0,200,21.943732
200.0,200,22.288073
200.0,200,22.626024
200.0,200,22.979312
185.0,185,23.311593
165.0,165,23.605199
92.0,92,23.765893
89.0,89,23.913393
113.0,113,24.095544
109.0,109,24.273448
154.0,154,24.530924
148.0,148,24.779811
133.0,133,25.00878
138.0,138,25.263268
147.0,147,25.509343
113.0,113,25.700758
168.0,168,25.976255
185.0,185,26.291827
139.0,139,26.517885
200.0,200,26.867306
200.0,200,27.215134
200.0,200,27.56602
200.0,200,27.909706
200.0,200,28.242886
200.0,200,28.572578
200.0,200,28.911762
200.0,200,29.248434
200.0,200,29.597139
200.0,200,29.929013
200.0,200,30.259855
200.0,200,30.59638
200.0,200,30.921374
200.0,200,31.284271
200.0,200,31.61113
200.0,200,31.93409
200.0,200,32.268604
200.0,200,32.596224
200.0,200,32.931336
200.0,200,33.259346
200.0,200,33.587969
200.0,200,33.9184
200.0,200,34.242784
200.0,200,34.593029
200.0,200,34.935313
200.0,200,35.292623
200.0,200,35.623579
200.0,200,35.951
200.0,200,36.300308
200.0,200,36.624818
200.0,200,36.943468
200.0,200,37.30744
200.0,200,37.629562
200.0,200,37.973351
200.0,200,38.300385
200.0,200,38.624919
200.0,200,38.954084
200.0,200,39.283649
200.0,200,39.613019
200.0,200,39.930573
200.0,200,40.248594
200.0,200,40.577915
200.0,200,40.902695
200.0,200,41.248275
200.0,200,41.582386
200.0,200,41.912455
200.0,200,42.269952
200.0,200,42.589207
200.0,200,42.943149
200.0,200,43.293487
200.0,200,43.619517
200.0,200,43.960585
200.0,200,44.297124
200.0,200,44.635676
200.0,200,44.95649
200.0,200,45.295323
200.0,200,45.622655
200.0,200,45.945361
200.0,200,46.272873
200.0,200,46.643067
200.0,200,46.968433
200.0,200,47.343354
200.0,200,47.664328
200.0,200,47.999918
200.0,200,48.33361
200.0,200,48.663073
200.0,200,49.016067
200.0,200,49.353415
200.0,200,49.692745
200.0,200,50.031824
200.0,200,50.362133
200.0,200,50.691444
200.0,200,51.046377
200.0,200,51.404595
200.0,200,51.73543
200.0,200,52.066287
200.0,200,52.403874
200.0,200,52.727758
200.0,200,53.062664
200.0,200,53.390952
200.0,200,53.713856
200.0,200,54.053069
200.0,200,54.375595
200.0,200,54.712631
200.0,200,55.047087
200.0,200,55.396719
200.0,200,55.723332
200.0,200,56.047857
200.0,200,56.386679
200.0,200,56.730096
200.0,200,57.064175
200.0,200,57.422753
200.0,200,57.745127
200.0,200,58.099485
200.0,200,58.418935
200.0,200,58.746029
200.0,200,59.083602
200.0,200,59.426521
200.0,200,59.759041
200.0,200,60.087401
200.0,200,60.417953
200.0,200,60.750906
200.0,200,61.084369
200.0,200,61.432879
200.0,200,61.755544
200.0,200,62.095331
200.0,200,62.442173
200.0,200,62.771213
200.0,200,63.105159
200.0,200,63.426542
200.0,200,63.751935
200.0,200,64.085196
200.0,200,64.418185
200.0,200,64.755059
200.0,200,65.077286
200.0,200,65.413187
200.0,200,65.74805
200.0,200,66.076419
200.0,200,66.41833
200.0,200,66.751747
200.0,200,67.083579
200.0,200,67.442665
200.0,200,67.760521
200.0,200,68.098343
200.0,200,68.426491
200.0,200,68.753117
200.0,200,69.101161
200.0,200,69.48059
200.0,200,69.815659
200.0,200,70.146782
200.0,200,70.470946
200.0,200,70.796405
200.0,200,71.123284
200.0,200,71.459844
200.0,200,71.782097
200.0,200,72.145902
200.0,200,72.480088
200.0,200,72.805869
200.0,200,73.140214
200.0,200,73.489915
200.0,200,73.818767
200.0,200,74.154762
200.0,200,74.481277
200.0,200,74.828478
200.0,200,75.154268
200.0,200,75.491661
200.0,200,75.826014
200.0,200,76.150611
200.0,200,76.488766
200.0,200,76.814725
200.0,200,77.133842
200.0,200,77.480035
200.0,200,77.807246
200.0,200,78.15748
200.0,200,78.478206
200.0,200,78.807533
200.0,200,79.140035
200.0,200,79.485205
200.0,200,79.825769
200.0,200,80.167588
200.0,200,80.543945
200.0,200,80.900634
200.0,200,81.241362
200.0,200,81.57618
200.0,200,81.909084
200.0,200,82.241979
200.0,200,82.584746
200.0,200,82.910015
200.0,200,83.278396
200.0,200,83.625738
200.0,200,83.966418
200.0,200,84.307822
200.0,200,84.639685
200.0,200,84.981917
200.0,200,85.309142
200.0,200,85.634868
200.0,200,85.971919
200.0,200,86.310129
200.0,200,86.649995
200.0,200,86.977698
200.0,200,87.325385
200.0,200,87.65928
200.0,200,87.991364
200.0,200,88.340727
200.0,200,88.680878
200.0,200,89.006504
200.0,200,89.355617
200.0,200,89.692285
200.0,200,90.035632
200.0,200,90.354412
200.0,200,90.687383
200.0,200,91.022023
200.0,200,91.375707
200.0,200,91.716481
200.0,200,92.044207
200.0,200,92.385991
200.0,200,92.732754
200.0,200,93.062779
200.0,200,93.404671
200.0,200,93.730995
200.0,200,94.053183
200.0,200,94.388364
200.0,200,94.725012
200.0,200,95.066817
200.0,200,95.391448
200.0,200,95.709694
200.0,200,96.066836
200.0,200,96.391152
200.0,200,96.719841
200.0,200,97.052232
200.0,200,97.399176
200.0,200,97.743564
200.0,200,98.068487
200.0,200,98.408475
200.0,200,98.730026
200.0,200,99.052629
200.0,200,99.396097
200.0,200,99.725725
200.0,200,100.069661
200.0,200,100.402872
200.0,200,100.721596
200.0,200,101.069355
200.0,200,101.422323
200.0,200,101.749863
200.0,200,102.077585
200.0,200,102.403332
200.0,200,102.748528
200.0,200,103.071741
200.0,200,103.447449
200.0,200,103.776164
200.0,200,104.099199
200.0,200,104.444738
200.0,200,104.770178
200.0,200,105.104209
200.0,200,105.447049
200.0,200,105.765404
200.0,200,106.108501
200.0,200,106.45394
200.0,200,106.789116
200.0,200,107.113076
200.0,200,107.435879
200.0,200,107.779435
200.0,200,108.098337
200.0,200,108.427046
200.0,200,108.756221
200.0,200,109.077301
200.0,200,109.442823
200.0,200,109.780168
200.0,200,110.119666
200.0,200,110.444668
200.0,200,110.769954
200.0,200,111.119471
200.0,200,111.511297
200.0,200,111.845355
200.0,200,112.17537
200.0,200,112.507339
200.0,200,112.842013
200.0,200,113.165891
200.0,200,113.505476
200.0,200,113.83581
200.0,200,114.168794
200.0,200,114.515344
200.0,200,114.839139
200.0,200,115.180133
200.0,200,115.535365
200.0,200,115.875496
200.0,200,116.209997
200.0,200,116.534786
200.0,200,116.864824
200.0,200,117.187435
200.0,200,117.53236
200.0,200,117.865213
200.0,200,118.220186
200.0,200,118.549025
200.0,200,118.882619
200.0,200,119.215087
200.0,200,119.553968
200.0,200,119.881837
200.0,200,120.230887
200.0,200,120.552719
200.0,200,120.874764
200.0,200,121.229401
200.0,200,121.581985
200.0,200,121.915224
200.0,200,122.234745
200.0,200,122.556238
200.0,200,122.89906
200.0,200,123.228602
200.0,200,123.57705
200.0,200,123.922501
200.0,200,124.247417
200.0,200,124.58834
200.0,200,124.91966
200.0,200,125.278162
200.0,200,125.608971
200.0,200,125.934725
200.0,200,126.274056
200.0,200,126.598475
200.0,200,126.936826
200.0,200,127.257738
200.0,200,127.587519
200.0,200,127.923691
200.0,200,128.255796
200.0,200,128.598455
200.0,200,128.924625
200.0,200,129.26865
200.0,200,129.607444
200.0,200,129.926447
200.0,200,130.263117
200.0,200,130.581524
200.0,200,130.903744
200.0,200,131.257843
200.0,200,131.588379
200.0,200,131.937407
200.0,200,132.268918
200.0,200,132.599573
200.0,200,132.950913
200.0,200,133.283407
200.0,200,133.616801
200.0,200,133.937884
200.0,200,134.276536
200.0,200,134.633958
200.0,200,134.964797
67.0,67,135.074846
200.0,200,135.427745
200.0,200,135.752386
200.0,200,136.084168
200.0,200,136.408642
200.0,200,136.741412
200.0,200,137.075389
200.0,200,137.409161
200.0,200,137.760687
200.0,200,138.094028
200.0,200,138.416783
200.0,200,138.745506
200.0,200,139.076932
200.0,200,139.44541
200.0,200,139.787747
200.0,200,140.114242
200.0,200,140.456878
200.0,200,140.774507
200.0,200,141.112964
200.0,200,141.44973
200.0,200,141.777981
200.0,200,142.169871
200.0,200,142.4917
200.0,200,142.827201
200.0,200,143.150463
200.0,200,143.506261
200.0,200,143.839628
200.0,200,144.169598
200.0,200,144.521034
200.0,200,144.855047
200.0,200,145.190413
200.0,200,145.539781
200.0,200,145.866748
200.0,200,146.20508
200.0,200,146.526898
200.0,200,146.854994
200.0,200,147.193233
200.0,200,147.535425
200.0,200,147.888091
200.0,200,148.217721
200.0,200,148.546415
200.0,200,148.890819
200.0,200,149.222355
200.0,200,149.556059
200.0,200,149.882914
200.0,200,150.207737
200.0,200,150.541674
200.0,200,150.874982
200.0,200,151.209101
200.0,200,151.56878
200.0,200,151.898626
200.0,200,152.231662
200.0,200,152.560711
200.0,200,152.903457
200.0,200,153.231895
200.0,200,153.57213
200.0,200,153.920354
200.0,200,154.246588
200.0,200,154.579957
200.0,200,154.904541
200.0,200,155.229778
200.0,200,155.55869
200.0,200,155.891862
200.0,200,156.239695
200.0,200,156.565865
200.0,200,156.889856
200.0,200,157.253519
200.0,200,157.584886
200.0,200,157.932509
200.0,200,158.267006
200.0,200,158.600675
200.0,200,158.958688
200.0,200,159.298739
200.0,200,159.645875
200.0,200,159.984589
200.0,200,160.312521
200.0,200,160.645128
200.0,200,160.97139
200.0,200,161.321522
200.0,200,161.646701
198.0,198,161.989431
30.0,30,162.038805
200.0,200,162.374306
200.0,200,162.698749
200.0,200,163.031331
200.0,200,163.366236
200.0,200,163.695236
200.0,200,164.047461
200.0,200,164.379752
200.0,200,164.721466
200.0,200,165.043249
200.0,200,165.389681
200.0,200,165.723002
200.0,200,166.050787
200.0,200,166.383132
200.0,200,166.714036
200.0,200,167.045836
200.0,200,167.386502
200.0,200,167.705937
200.0,200,168.04592
200.0,200,168.369961
