#{"t_start": 1620060735.075546, "env_id": "CartPole-v0"}
r,l,t
29.0,29,0.051986
23.0,23,0.093803
12.0,12,0.112733
19.0,19,0.144481
22.0,22,0.1792
22.0,22,0.220538
31.0,31,0.275169
16.0,16,0.302661
26.0,26,0.345765
20.0,20,0.379875
32.0,32,0.434255
14.0,14,0.45841
15.0,15,0.48305
11.0,11,0.500751
13.0,13,0.520503
22.0,22,0.559448
17.0,17,0.587217
31.0,31,0.638861
15.0,15,0.66361
20.0,20,0.697646
22.0,22,0.737865
14.0,14,0.762691
16.0,16,0.788467
45.0,45,0.862375
17.0,17,0.890856
20.0,20,0.925063
28.0,28,0.974444
15.0,15,1.000512
9.0,9,1.016455
12.0,12,1.035249
27.0,27,1.07955
200.0,200,1.443027
71.0,71,1.560507
127.0,127,1.779531
40.0,40,1.847852
67.0,67,1.9647
94.0,94,2.133282
142.0,142,2.369809
200.0,200,2.716256
173.0,173,3.026535
200.0,200,3.382814
175.0,175,3.675702
200.0,200,4.014552
187.0,187,4.328594
200.0,200,4.676609
200.0,200,5.011136
83.0,83,5.148044
140.0,140,5.409168
200.0,200,5.758715
200.0,200,6.093258
200.0,200,6.442032
200.0,200,6.766205
200.0,200,7.108915
200.0,200,7.480395
200.0,200,7.815822
200.0,200,8.166108
200.0,200,8.493858
200.0,200,8.824092
200.0,200,9.165553
200.0,200,9.499511
200.0,200,9.85322
200.0,200,10.183008
200.0,200,10.508652
200.0,200,10.865026
200.0,200,11.203368
155.0,155,11.494417
166.0,166,11.774584
125.0,125,11.981889
105.0,105,12.15908
133.0,133,12.392338
143.0,143,12.640413
127.0,127,12.850127
140.0,140,13.084734
200.0,200,13.450389
167.0,167,13.735218
129.0,129,13.95259
122.0,122,14.189277
134.0,134,14.411471
98.0,98,14.57229
129.0,129,14.800474
144.0,144,15.066105
112.0,112,15.247651
71.0,71,15.365837
74.0,74,15.490748
68.0,68,15.608898
54.0,54,15.69705
82.0,82,15.847145
69.0,69,15.962752
85.0,85,16.105879
82.0,82,16.242947
40.0,40,16.310172
63.0,63,16.418762
59.0,59,16.513004
58.0,58,16.621468
43.0,43,16.700141
51.0,51,16.787081
29.0,29,16.837218
52.0,52,16.923574
32.0,32,16.976272
50.0,50,17.059268
36.0,36,17.124659
51.0,51,17.209128
54.0,54,17.333454
62.0,62,17.436599
39.0,39,17.507755
60.0,60,17.609022
56.0,56,17.701967
48.0,48,17.787992
30.0,30,17.83822
34.0,34,17.891292
38.0,38,17.954972
34.0,34,18.013513
52.0,52,18.099962
73.0,73,18.224011
55.0,55,18.320249
49.0,49,18.403961
38.0,38,18.464645
56.0,56,18.556664
119.0,119,18.763912
83.0,83,18.899844
131.0,131,19.112799
113.0,113,19.345049
97.0,97,19.538728
175.0,175,19.835505
62.0,62,19.937771
171.0,171,20.240888
90.0,90,20.391402
92.0,92,20.544427
94.0,94,20.711353
177.0,177,21.00893
130.0,130,21.226892
162.0,162,21.500039
200.0,200,21.840479
135.0,135,22.063768
200.0,200,22.406848
200.0,200,22.761204
200.0,200,23.105259
190.0,190,23.449858
126.0,126,23.671989
57.0,57,23.767
103.0,103,23.938324
101.0,101,24.102643
134.0,134,24.32089
142.0,142,24.55651
88.0,88,24.706301
130.0,130,24.930947
117.0,117,25.136773
132.0,132,25.372978
119.0,119,25.569636
130.0,130,25.785833
172.0,172,26.074764
197.0,197,26.405653
196.0,196,26.729627
200.0,200,27.088562
200.0,200,27.443041
200.0,200,27.783197
200.0,200,28.117972
200.0,200,28.449138
200.0,200,28.791377
200.0,200,29.114382
200.0,200,29.466846
200.0,200,29.807001
200.0,200,30.135925
200.0,200,30.473736
200.0,200,30.798008
200.0,200,31.130486
200.0,200,31.488703
200.0,200,31.814062
200.0,200,32.145449
200.0,200,32.473854
200.0,200,32.801848
200.0,200,33.134814
200.0,200,33.466074
200.0,200,33.796873
200.0,200,34.121517
200.0,200,34.464783
200.0,200,34.801013
200.0,200,35.144983
200.0,200,35.503602
200.0,200,35.827768
200.0,200,36.171909
200.0,200,36.504013
200.0,200,36.825552
200.0,200,37.166749
200.0,200,37.508451
200.0,200,37.836343
200.0,200,38.174063
200.0,200,38.502446
200.0,200,38.831856
200.0,200,39.162508
200.0,200,39.488075
200.0,200,39.812283
200.0,200,40.12951
200.0,200,40.458377
200.0,200,40.782311
200.0,200,41.110037
200.0,200,41.463959
200.0,200,41.791134
200.0,200,42.133589
200.0,200,42.468318
200.0,200,42.797543
200.0,200,43.151003
200.0,200,43.498481
200.0,200,43.84122
200.0,200,44.169569
200.0,200,44.505519
200.0,200,44.838098
200.0,200,45.158563
200.0,200,45.501779
200.0,200,45.824393
200.0,200,46.148221
200.0,200,46.497829
200.0,200,46.848519
200.0,200,47.202699
200.0,200,47.541382
200.0,200,47.870623
200.0,200,48.209046
200.0,200,48.540331
200.0,200,48.893337
200.0,200,49.224486
200.0,200,49.567553
200.0,200,49.89238
200.0,200,50.240155
200.0,200,50.567917
200.0,200,50.914786
200.0,200,51.265949
200.0,200,51.611795
200.0,200,51.943151
200.0,200,52.281044
200.0,200,52.609279
200.0,200,52.940805
200.0,200,53.268099
200.0,200,53.595212
200.0,200,53.935343
200.0,200,54.254598
200.0,200,54.580913
200.0,200,54.920653
200.0,200,55.274294
200.0,200,55.604265
200.0,200,55.926422
200.0,200,56.252067
200.0,200,56.591962
200.0,200,56.937701
200.0,200,57.303028
200.0,200,57.62601
200.0,200,57.961261
200.0,200,58.300602
200.0,200,58.625393
200.0,200,58.954264
200.0,200,59.302104
200.0,200,59.632793
200.0,200,59.964483
200.0,200,60.297714
200.0,200,60.62903
200.0,200,60.960431
200.0,200,61.305544
200.0,200,61.63445
200.0,200,61.970212
200.0,200,62.321225
200.0,200,62.649848
200.0,200,62.974619
200.0,200,63.307234
200.0,200,63.630572
200.0,200,63.964516
200.0,200,64.294221
200.0,200,64.62788
200.0,200,64.956993
200.0,200,65.294752
200.0,200,65.62766
200.0,200,65.953198
200.0,200,66.289175
200.0,200,66.628637
200.0,200,66.959116
200.0,200,67.323036
200.0,200,67.641707
200.0,200,67.96855
200.0,200,68.303594
200.0,200,68.630842
200.0,200,68.97745
200.0,200,69.348834
200.0,200,69.683022
200.0,200,70.025376
200.0,200,70.35033
200.0,200,70.676213
200.0,200,71.002341
200.0,200,71.335859
200.0,200,71.662187
200.0,200,72.005322
200.0,200,72.355599
200.0,200,72.684769
200.0,200,73.009207
200.0,200,73.365983
200.0,200,73.690063
200.0,200,74.032703
200.0,200,74.359759
200.0,200,74.702515
200.0,200,75.029614
200.0,200,75.370846
200.0,200,75.704318
200.0,200,76.028936
200.0,200,76.362231
200.0,200,76.691305
200.0,200,77.014078
200.0,200,77.359255
200.0,200,77.68528
200.0,200,78.03002
200.0,200,78.358198
200.0,200,78.6852
200.0,200,79.019142
200.0,200,79.363841
200.0,200,79.692966
200.0,200,80.030826
200.0,200,80.388871
200.0,200,80.779155
200.0,200,81.117614
200.0,200,81.449007
200.0,200,81.788071
200.0,200,82.119253
200.0,200,82.464505
200.0,200,82.790105
200.0,200,83.119032
200.0,200,83.494001
200.0,200,83.841693
200.0,200,84.185968
200.0,200,84.510591
200.0,200,84.858165
200.0,200,85.185635
200.0,200,85.513737
46.0,46,85.591229
200.0,200,85.927669
48.0,48,86.00555
200.0,200,86.34421
200.0,200,86.682353
200.0,200,87.011032
200.0,200,87.36132
200.0,200,87.691377
200.0,200,88.024891
200.0,200,88.372662
200.0,200,88.712484
200.0,200,89.039311
200.0,200,89.392906
200.0,200,89.728342
200.0,200,90.067629
200.0,200,90.386509
200.0,200,90.725143
200.0,200,91.053569
200.0,200,91.408394
200.0,200,91.749279
200.0,200,92.077583
200.0,200,92.423328
200.0,200,92.766967
200.0,200,93.096048
200.0,200,93.437368
200.0,200,93.764248
200.0,200,94.090526
200.0,200,94.420648
200.0,200,94.759788
200.0,200,95.101068
200.0,200,95.423573
200.0,200,95.744534
200.0,200,96.100554
200.0,200,96.422987
200.0,200,96.753999
200.0,200,97.084579
200.0,200,97.440416
200.0,200,97.776755
200.0,200,98.100988
200.0,200,98.442424
200.0,200,98.763602
200.0,200,99.088957
200.0,200,99.432964
200.0,200,99.758572
200.0,200,100.105002
200.0,200,100.435523
200.0,200,100.760329
200.0,200,101.103331
200.0,200,101.454177
200.0,200,101.783667
