iteration,num_frames,time_in_s,fitness,loss
0,25,9.393692016601562e-05,0.0,7.891183376312256
1,50,0.011649608612060547,0.0,6.901913642883301
2,75,0.02392268180847168,12.25,4.880117893218994
3,100,0.0350794792175293,12.25,7.340201377868652
4,125,0.04641318321228027,12.25,7.23618745803833
5,150,0.057700395584106445,12.25,7.405642032623291
6,175,0.06922674179077148,17.0,6.390384674072266
7,200,0.08047699928283691,17.0,7.388915538787842
8,225,0.09162569046020508,17.0,7.377249717712402
9,250,0.10333061218261719,41.5,5.717507839202881
10,275,0.11531925201416016,38.0,6.145368576049805
11,300,0.1274397373199463,26.0,6.356899261474609
12,325,0.13891124725341797,11.0,6.760860443115234
13,350,0.15004849433898926,11.0,7.289840221405029
14,375,0.16158270835876465,13.0,6.1508564949035645
15,400,0.1735849380493164,27.0,5.281149864196777
16,425,0.18506884574890137,43.0,5.545910835266113
17,450,0.19643831253051758,14.0,6.238900184631348
18,475,0.2091672420501709,14.0,5.159060478210449
19,500,0.2222898006439209,12.0,6.655585765838623
20,525,0.23412227630615234,12.0,7.203515529632568
21,550,0.24607515335083008,16.0,6.252375602722168
22,575,0.25745701789855957,16.0,7.307460308074951
23,600,0.2686128616333008,16.0,7.258819103240967
24,625,0.2814335823059082,27.0,4.070227146148682
25,650,0.2933812141418457,32.0,6.609935760498047
26,675,0.3045673370361328,32.0,7.208914756774902
27,700,0.3163270950317383,16.0,6.513086318969727
28,725,0.32790136337280273,16.0,7.283477306365967
29,750,0.33934760093688965,26.0,6.639293193817139
30,775,0.3507053852081299,24.0,6.559791564941406
31,800,0.36235904693603516,68.0,6.183138370513916
32,825,0.37532949447631836,68.0,7.237217903137207
33,850,0.38822412490844727,26.0,6.259744167327881
34,875,0.40091729164123535,26.0,7.243765830993652
35,900,0.4147956371307373,24.0,6.544860363006592
36,925,0.4278106689453125,34.0,6.522571563720703
37,950,0.43982362747192383,61.0,6.5592875480651855
38,975,0.4525618553161621,61.0,7.193777084350586
39,1000,0.46558237075805664,31.0,6.139206886291504
40,1025,0.47724008560180664,31.0,7.232812404632568
41,1050,0.4890880584716797,20.0,6.151425838470459
42,1075,0.5006089210510254,28.0,6.183808326721191
43,1100,0.5116255283355713,28.0,7.082861423492432
44,1125,0.5226106643676758,28.0,7.117639541625977
45,1150,0.5336804389953613,28.0,7.309632778167725
46,1175,0.5453059673309326,57.0,6.1341729164123535
47,1200,0.5566587448120117,23.0,6.183414936065674
48,1225,0.5683226585388184,46.5,6.004904747009277
49,1250,0.5796685218811035,46.5,7.3109130859375
50,1275,0.5908138751983643,46.5,7.218947887420654
51,1300,0.6023669242858887,46.5,7.119837284088135
52,1325,0.614448070526123,46.5,7.19843864440918
53,1350,0.6260871887207031,27.0,6.594226360321045
54,1375,0.6376979351043701,26.0,6.116494178771973
55,1400,0.6494066715240479,26.0,7.085185527801514
56,1425,0.661431074142456,40.0,6.125707149505615
57,1450,0.6730656623840332,80.0,5.918962478637695
58,1475,0.6845738887786865,80.0,7.241599082946777
59,1500,0.6974101066589355,80.0,7.199711322784424
60,1525,0.7099282741546631,80.0,6.8662333488464355
61,1550,0.7227144241333008,66.5,5.141047954559326
62,1575,0.7339732646942139,66.5,6.9375505447387695
63,1600,0.747718334197998,31.0,6.295766353607178
64,1625,0.7610976696014404,31.0,7.040012836456299
65,1650,0.7728865146636963,31.0,7.086179733276367
66,1675,0.784043550491333,31.0,7.088071346282959
67,1700,0.7981457710266113,28.5,5.643582344055176
68,1725,0.8112070560455322,28.5,7.706007480621338
69,1750,0.8236947059631348,76.0,5.786503314971924
70,1775,0.8373963832855225,34.0,6.464401721954346
71,1800,0.8504135608673096,34.0,7.178149700164795
72,1825,0.8631508350372314,34.0,6.791555881500244
73,1850,0.8753478527069092,34.0,6.980062961578369
74,1875,0.8878319263458252,36.0,5.962197780609131
75,1900,0.9003944396972656,36.0,7.123907566070557
76,1925,0.9128878116607666,38.0,6.495852947235107
77,1950,0.9524867534637451,38.0,7.327225685119629
78,1975,0.9759783744812012,37.0,6.0452165603637695
79,2000,0.98781418800354,11.0,6.2283453941345215
80,2025,0.9996535778045654,11.0,7.5739827156066895
81,2050,1.0133116245269775,11.0,7.309327125549316
82,2075,1.0271077156066895,64.0,6.860241413116455
83,2100,1.0389225482940674,76.0,6.338881015777588
84,2125,1.050365924835205,49.0,5.994564533233643
85,2150,1.0617990493774414,49.0,7.0311808586120605
86,2175,1.0731139183044434,49.0,7.117568016052246
87,2200,1.0846829414367676,25.0,6.07577657699585
88,2225,1.0965428352355957,44.0,6.003904342651367
89,2250,1.1081411838531494,24.0,5.997466564178467
90,2275,1.119352102279663,24.0,7.019804000854492
91,2300,1.1310443878173828,24.0,7.086607456207275
92,2325,1.1423075199127197,24.0,7.087541580200195
93,2350,1.153440237045288,24.0,7.074590682983398
94,2375,1.1654303073883057,67.5,5.139004230499268
95,2400,1.1768255233764648,67.5,7.121811866760254
96,2425,1.1884655952453613,38.5,5.283758163452148
97,2450,1.1993601322174072,38.5,7.05742883682251
98,2475,1.2108285427093506,38.5,7.086813926696777
99,2500,1.2241871356964111,38.5,7.178003787994385
100,2525,1.2362656593322754,29.0,6.160709381103516
101,2550,1.2476592063903809,29.0,7.221518516540527
102,2575,1.2587532997131348,29.0,7.287976264953613
103,2600,1.2698910236358643,29.0,7.116091251373291
104,2625,1.2813396453857422,42.0,6.273944854736328
105,2650,1.2926454544067383,42.0,6.984334945678711
106,2675,1.3044512271881104,70.0,5.470272064208984
107,2700,1.3157200813293457,70.0,7.266717433929443
108,2725,1.3271613121032715,70.0,6.782341957092285
109,2750,1.3383760452270508,74.0,6.204028129577637
110,2775,1.3492870330810547,74.0,7.020419120788574
111,2800,1.3609695434570312,21.0,6.1635847091674805
112,2825,1.3741168975830078,58.0,6.418212413787842
113,2850,1.3870110511779785,58.0,6.937727928161621
114,2875,1.399965524673462,58.0,7.032756328582764
115,2900,1.4127404689788818,58.0,7.035845756530762
116,2925,1.4257020950317383,52.0,6.395602703094482
117,2950,1.4391591548919678,64.0,6.341951847076416
118,2975,1.4529640674591064,41.0,6.430168628692627
119,3000,1.4663400650024414,38.0,5.647985458374023
120,3025,1.478184700012207,15.0,6.500728130340576
121,3050,1.4903509616851807,15.0,7.218593120574951
122,3075,1.5017662048339844,15.0,7.224107265472412
123,3100,1.5148711204528809,15.0,6.926204204559326
