iteration,num_frames,time_in_s,species_id,size,age,stagnation,fitness,adjusted_fitness
0,3584,0.0012600421905517578,1,200,0,0,,
1,11061,0.08198738098144531,1,200,1,1,169.0,0.061614906832298144
2,19493,0.17358160018920898,1,200,2,1,200.0,0.153046875
3,29968,0.26918458938598633,1,200,3,2,200.0,0.17791666666666664
4,40863,0.3627662658691406,1,200,4,3,200.0,0.23111979166666666
5,52082,0.46796250343322754,1,200,5,4,200.0,0.24205729166666667
6,65809,0.5984792709350586,1,200,6,5,200.0,0.25049479166666666
7,81453,0.7161874771118164,1,200,7,6,200.0,0.3158072916666667
8,97948,0.8411662578582764,1,200,8,7,200.0,0.36572916666666666
9,115590,0.9683551788330078,1,200,9,8,200.0,0.387890625
10,134288,1.104978084564209,1,200,10,9,200.0,0.41776041666666663
11,152374,1.247351884841919,1,200,11,10,200.0,0.44526041666666666
12,168902,1.371755599975586,1,200,12,11,200.0,0.4293229166666667
13,189703,1.5099480152130127,1,200,13,12,200.0,0.38875
14,209442,1.6731793880462646,1,200,14,13,200.0,0.5000260416666666
15,228055,1.8372089862823486,1,200,15,14,200.0,0.47236979166666665
16,249190,1.9808728694915771,1,200,16,15,200.0,0.443046875
17,271566,2.1248366832733154,1,200,17,16,200.0,0.5087239583333333
18,289840,2.256085157394409,1,200,18,17,200.0,0.5410416666666666
19,310187,2.426964044570923,1,200,19,18,200.0,0.43421875000000004
20,330537,2.5646533966064453,1,200,20,19,200.0,0.488203125
21,355511,2.733370780944824,1,200,21,20,200.0,0.48828125
22,377216,2.9389660358428955,1,200,22,21,200.0,0.6086979166666667
23,398931,3.0822463035583496,1,200,23,22,200.0,0.5235677083333333
24,419897,3.222668409347534,1,200,24,23,200.0,0.523828125
25,441223,3.368180513381958,1,200,25,24,200.0,0.5043229166666666
26,464440,3.522160530090332,1,200,26,25,200.0,0.5136979166666666
27,485706,3.6679110527038574,1,200,27,26,200.0,0.5629427083333333
28,508777,3.8182485103607178,1,200,28,27,200.0,0.5121354166666666
