iteration,num_frames,time_in_s,species_id,size,age,stagnation,fitness,adjusted_fitness
0,12974,0.001130819320678711,1,101,0,0,,
0,12974,0.0011386871337890625,2,32,0,0,,
0,12974,0.0011434555053710938,3,17,0,0,,
1,24883,0.5105421543121338,3,67,1,1,-455.74596362753846,0.8233779362292004
1,24883,0.5105605125427246,1,19,1,1,-398.85201608667825,0.8442687262904904
1,24883,0.5105688571929932,2,64,1,1,-365.69197804523503,0.8564447032281194
2,35849,0.979475736618042,2,46,2,1,-295.2900619717455,0.9087244706964595
2,35849,0.979494571685791,1,44,2,1,-265.2175152765702,0.9181349379016306
2,35849,0.979506254196167,3,60,2,1,-211.5557938619132,0.9349270597882242
3,46645,1.384009599685669,1,53,3,2,-274.8905573067999,0.777248969138353
3,46645,1.3840210437774658,3,53,3,1,-196.76063752002838,0.8283248238348347
3,46645,1.3840279579162598,2,43,3,1,-183.76409033178618,0.8368210536729591
3,46645,1.3840341567993164,4,1,1,1,,
4,57280,1.7628607749938965,1,45,4,1,-184.0574871598813,0.735182012686799
4,57280,1.7628772258758545,2,49,4,1,-164.80120277321032,0.7587770699366355
4,57280,1.7628953456878662,3,22,4,1,-156.115448996655,0.7694198737870847
4,57280,1.7629075050354004,4,34,2,1,-111.49343815906806,0.8240959929788262
5,68590,2.1798813343048096,3,25,5,2,-190.15281716042483,0.7473876561844566
5,68590,2.179896831512451,2,39,5,2,-167.83816744965966,0.7732385271950573
5,68590,2.179908037185669,1,54,5,1,-146.67737814287406,0.7977526845733965
5,68590,2.1799187660217285,4,32,3,2,-142.8823976182065,0.8021490588522899
6,79866,2.599315881729126,2,33,6,3,-239.21252469806515,0.9210210211961422
6,79866,2.599327325820923,1,49,6,2,-161.48711192828344,0.9426154153822915
6,79866,2.5993337631225586,4,35,4,3,-160.16351100284263,0.9429831504525932
6,79866,2.5993399620056152,3,25,6,1,-138.13920046806572,0.9491021484278738
6,79866,2.599348545074463,5,8,1,1,,
7,92051,3.119036912918091,5,34,2,1,-182.82654439425193,0.5516320343385976
7,92051,3.119046926498413,1,48,7,3,-182.61518935392306,0.5518406445696925
7,92051,3.1190531253814697,3,21,7,2,-160.26785951160514,0.5738977558432361
7,92051,3.119058609008789,2,22,7,1,-151.51020243046617,0.5825416796630934
7,92051,3.1190643310546875,4,26,5,4,-146.69209952892027,0.5872972111998204
8,104645,3.626643657684326,3,21,8,3,-180.87924407822956,0.7579934849315775
8,104645,3.6266539096832275,5,39,3,1,-172.79594526923765,0.7667282316548346
8,104645,3.6266603469848633,2,24,8,2,-170.85249455907703,0.7688283086312669
8,104645,3.6266679763793945,1,38,8,4,-152.8891357623044,0.7882393675437817
8,104645,3.6266770362854004,4,28,6,5,-152.55395736916364,0.7886015585799383
9,116459,4.176558256149292,5,31,4,2,-210.75461275997404,0.6220207116003871
9,116459,4.176583766937256,1,22,9,5,-197.99303859135796,0.635372018635898
9,116459,4.176589488983154,4,30,7,6,-156.85487202462514,0.6784112460425901
9,116459,4.176595211029053,2,23,9,3,-153.15068151631598,0.6822866131517736
9,116459,4.176600217819214,3,43,9,1,-131.30554238521913,0.7051412512958667
10,128809,4.739621639251709,2,24,10,4,-194.22349802097818,0.6543055867120545
10,128809,4.739664554595947,5,26,5,3,-176.1447137774705,0.6789851236104136
10,128809,4.73967170715332,3,37,10,2,-147.00921250205252,0.7187583002296926
10,128809,4.739677906036377,1,32,10,1,-139.98378949707836,0.728348778435665
10,128809,4.7396838665008545,4,30,8,7,-124.95843743806955,0.7488600432174387
11,141393,5.293061971664429,3,28,11,3,-182.7761300053292,0.7189309296495259
11,141393,5.293076992034912,4,29,9,8,-179.50360075978597,0.7228939807645498
11,141393,5.293120861053467,2,24,11,5,-174.2555689396214,0.7292493764832919
11,141393,5.293131113052368,5,34,6,1,-166.803309076787,0.7382741046195107
11,141393,5.293140172958374,1,33,11,2,-145.51974085992734,0.7640486240889343
12,155993,6.444267988204956,4,32,10,9,-180.5178450961281,0.589531999250524
12,155993,6.444282054901123,1,27,12,3,-152.1522762932628,0.6252667217279175
12,155993,6.444305896759033,3,18,12,4,-146.3525614138451,0.6325731573261018
12,155993,6.444311618804932,5,39,7,1,-122.38217722021597,0.6627708604918255
