iteration,num_frames,time_in_s,species_id,size,age,stagnation,fitness,adjusted_fitness
0,40000,0.0014758110046386719,1,200,0,0,,
1,80000,0.6482069492340088,1,200,1,1,-1325.892135545755,0.4187709912886925
2,120000,1.3310203552246094,1,200,2,1,-1304.573821846673,0.43595072155577136
3,160000,1.9623010158538818,1,200,3,1,-1293.1413430191371,0.4177868537229343
4,200000,2.5925698280334473,1,200,4,1,-1277.2858180797693,0.42391112572112155
5,240000,3.248159885406494,1,200,5,1,-1274.112340325377,0.46725181928235204
6,280000,3.9200003147125244,1,200,6,2,-1275.9317495007463,0.46053266816272104
7,320000,4.5587499141693115,1,200,7,1,-1200.5925354847582,0.5129102649578167
8,360000,5.197672605514526,1,200,8,2,-1273.5205033484167,0.4497927447803876
9,400000,5.781289577484131,1,200,9,3,-1214.0474042827616,0.4694292423486059
10,440000,6.362218141555786,1,200,10,4,-1249.9006392975894,0.4574732842341942
11,480000,6.922644853591919,1,200,11,5,-1231.3669891793331,0.455802602780462
12,520000,7.470703840255737,1,200,12,6,-1257.841804063532,0.47742237529913567
