iteration,num_frames,time_in_s,fitness,loss
0,25,7.963180541992188e-05,0.0,-2.7362422943115234
1,50,0.013580799102783203,0.0,-2.377943515777588
2,75,0.026634931564331055,0.0,-2.0571448802948
3,100,0.03995156288146973,0.0,-2.731564998626709
4,125,0.053313255310058594,0.0,-2.691598892211914
5,150,0.06569123268127441,0.0,-2.60624623298645
6,175,0.07809042930603027,0.0,-2.334182024002075
7,200,0.09168076515197754,0.0,-2.0429224967956543
8,225,0.10491657257080078,0.0,-1.3344898223876953
9,250,0.11809659004211426,0.0,-0.5041747689247131
10,275,0.13538336753845215,-3.769806785877794,173.64883422851562
11,300,0.14984941482543945,-3.769806785877794,-5.231389045715332
12,325,0.16460037231445312,-3.769806785877794,-4.385442733764648
13,350,0.18203258514404297,-2.3485857942464414,516.9265747070312
14,375,0.19568586349487305,-2.3485857942464414,-4.621053695678711
15,400,0.20885753631591797,-2.3485857942464414,-4.310220718383789
16,425,0.22656559944152832,-26.73600393704883,681.5469970703125
17,450,0.23998522758483887,-26.73600393704883,-1.5530458688735962
18,475,0.25371885299682617,-26.73600393704883,-3.197486400604248
19,500,0.27083468437194824,-31.201550831839448,337.8295593261719
20,525,0.28399014472961426,-31.201550831839448,-2.5344467163085938
21,550,0.30106043815612793,-2.784778742055719,809.9616088867188
22,575,0.3138096332550049,-2.784778742055719,-3.2979679107666016
23,600,0.3306875228881836,-7.328024155701202,828.1343383789062
24,625,0.34377622604370117,-7.328024155701202,-2.4544126987457275
25,650,0.3574998378753662,-7.328024155701202,-1.9788429737091064
26,675,0.3712913990020752,-7.328024155701202,-0.41189876198768616
27,700,0.3842508792877197,-7.328024155701202,-0.7255432605743408
28,725,0.39685726165771484,-7.328024155701202,-0.7097793221473694
29,750,0.41020655632019043,-7.328024155701202,-1.0269958972930908
30,775,0.4274144172668457,-5.800214846548937,524.1414794921875
31,800,0.4454376697540283,-37.00933784026466,832.10498046875
32,825,0.45827221870422363,-37.00933784026466,-1.870283603668213
33,850,0.4756591320037842,-8.088649290001023,520.6288452148438
34,875,0.48853111267089844,-8.088649290001023,-1.9113874435424805
35,900,0.5009763240814209,-8.088649290001023,-1.0121536254882812
36,925,0.5220019817352295,-3.370549840374229,668.2951049804688
37,950,0.5344922542572021,-3.370549840374229,-2.5315864086151123
38,975,0.5477333068847656,-3.370549840374229,-0.3629668653011322
39,1000,0.5607144832611084,-3.370549840374229,0.626738429069519
40,1025,0.5731978416442871,-3.370549840374229,-0.15592390298843384
41,1050,0.5869598388671875,-3.370549840374229,-0.19856953620910645
42,1075,0.6032705307006836,-2.191042312646907,675.2947387695312
43,1100,0.6206083297729492,-4.3817024997926,514.7823486328125
44,1125,0.6339304447174072,-4.3817024997926,-0.8549978733062744
45,1150,0.6477572917938232,-4.3817024997926,-0.6880847215652466
46,1175,0.6657054424285889,-3.3529280034812787,178.62405395507812
47,1200,0.6788792610168457,-3.3529280034812787,-0.17093870043754578
48,1225,0.6928386688232422,-3.3529280034812787,-0.28811004757881165
