#{"t_start": 1620067330.0515187, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-103.769807,51,0.181832
-102.784779,59,0.354417
-103.144024,73,0.571897
-102.593599,71,0.774903
-107.146899,55,0.938771
-107.66654,52,1.09761
-156.135309,705,3.095595
-123.055575,62,3.282483
-103.950905,48,3.430165
-106.284749,82,3.669596
-110.89087,46,3.805007
-102.421062,60,3.999532
-107.586695,64,4.194581
-120.129711,92,4.472313
-104.186983,49,4.616596
-104.707595,121,4.980338
-110.552217,57,5.159961
-128.687813,155,5.614954
-102.716045,53,5.776747
-101.949824,52,5.934193
-144.892553,2000,11.719417
-218.943139,1446,16.025906
-100.952271,100,16.325328
-103.804077,46,16.454546
-102.300818,51,16.605716
-106.801652,90,16.897256
-100.317834,59,17.076664
-101.145136,71,17.296193
-101.315055,69,17.509722
-102.099437,60,17.703151
-101.969067,43,17.844666
-103.093421,48,17.993813
-108.13606,69,18.209369
-100.815785,62,18.401213
-102.929924,51,18.565292
-103.358588,68,18.768904
-103.735424,63,18.964311
-101.653368,84,19.226658
-100.784831,55,19.397042
-102.672731,55,19.571421
-104.94168,96,19.875746
-102.273934,50,20.051317
-102.779897,63,20.237207
-102.020659,48,20.384959
-102.473613,52,20.552191
-104.485638,45,20.700489
-104.716376,72,20.940302
-102.736106,53,21.101135
-108.748238,68,21.302017
-106.143415,40,21.425302
-104.1661,48,21.570784
-103.170784,61,21.746656
-181.200632,2000,27.544936
-117.404396,274,28.355048
-242.785754,1957,34.217664
-104.648028,78,34.449209
-101.254632,101,34.741611
-113.221559,142,35.20017
-104.587098,89,35.462967
-99.629638,74,35.677913
-118.31515,77,35.914988
-151.596521,769,38.114906
-107.093714,162,38.581152
-128.446697,480,39.99586
-116.784248,317,40.898619
-97.92444,81,41.135748
-101.637311,46,41.278165
-105.520812,59,41.457371
-151.688697,872,44.083364
-100.96416,86,44.354231
-109.212424,74,44.579657
-100.400859,58,44.785423
-187.28264,1099,47.987797
-127.194781,129,48.360618
-102.151198,63,48.54642
-103.363842,80,48.796014
-100.92195,71,49.008716
-108.432899,96,49.297646
-101.828548,82,49.533655
-104.85252,49,49.679881
-106.2098,61,49.86885
-100.541709,65,50.069484
-102.490946,85,50.327225
-113.695881,84,50.594123
-101.362049,61,50.811102
-100.346181,57,50.99591
-106.796594,91,51.2673
-116.525594,82,51.510319
-108.187331,291,52.400926
-105.007473,40,52.524796
-104.50053,47,52.660975
-120.694214,89,52.928763
-106.861694,77,53.162705
-103.687528,52,53.311685
-102.233677,55,53.480324
-116.38177,208,54.105681
-104.101022,58,54.286265
-104.60973,57,54.458086
-119.306862,83,54.715706
-112.137012,81,55.00998
-102.713978,57,55.183388
-102.305882,78,55.425226
-105.688932,65,55.625328
-103.73628,236,56.342288
-101.227417,107,56.669791
-109.916221,54,56.865763
-103.779953,48,57.015873
-102.68865,68,57.21227
-102.197112,49,57.366722
-103.876042,96,57.664227
-98.886317,95,57.943736
-110.778094,49,58.099438
-100.083017,53,58.272209
-102.66707,55,58.432938
-121.059879,105,58.746009
-107.349189,241,59.515913
-102.200491,67,59.717293
-102.692956,54,59.885139
-100.750886,75,60.126247
-104.795916,104,60.450847
-107.697955,118,60.806792
-113.001017,74,61.020438
-103.001626,100,61.315037
-113.401994,61,61.501282
-126.203399,279,62.32067
-105.002646,61,62.512559
-114.54503,85,62.775561
-104.284676,72,63.011216
-107.422109,39,63.138978
-109.601679,59,63.328156
-100.646925,56,63.503117
-105.957164,36,63.61147
-110.943344,118,63.965965
-104.697805,97,64.254582
-103.398688,52,64.410909
-107.179152,105,64.726015
-102.137829,58,64.902938
-107.208598,64,65.097616
-100.080465,77,65.337045
-101.25952,68,65.54035
-107.068045,69,65.74563
-103.32704,67,65.94275
-106.007037,96,66.227101
-109.076729,117,66.569717
-105.172815,86,66.848225
-104.443114,84,67.088319
-101.098873,65,67.267322
-103.554943,43,67.388061
-104.765298,61,67.5602
-118.556003,95,67.827802
-103.274499,66,68.020964
-117.276355,82,68.252354
-113.94795,56,68.43299
-111.161864,55,68.596716
-105.43342,58,68.769148
-101.036406,93,69.031828
-104.999344,45,69.160352
-104.950588,90,69.419666
-104.034889,75,69.645228
-105.121759,63,69.83231
-106.151389,62,70.003662
-105.711033,44,70.143219
-105.919196,52,70.299467
-112.868621,71,70.497414
-107.05892,39,70.617165
-105.45316,44,70.740631
-103.880282,74,70.99214
-108.710038,53,71.150737
-103.552902,109,71.465908
-107.94887,150,71.909559
-111.41929,203,72.491692
-117.020246,188,73.066935
-104.499116,67,73.267482
-148.854817,1081,76.345181
-97.726464,79,76.611254
-105.062157,59,76.826748
-102.173477,103,77.137642
-107.961782,93,77.411308
-102.420244,49,77.558788
-104.453454,67,77.75864
-102.447187,58,77.933867
-102.329458,62,78.120479
-99.007994,77,78.35194
-113.583182,231,79.041447
-129.07964,146,79.455737
-104.936805,40,79.571854
-103.776867,72,79.791064
-168.0684,2000,85.575794
-103.969925,73,85.793602
-107.833803,59,85.971434
-122.500054,483,87.374432
-122.073086,107,87.673597
-106.090678,115,88.002546
-104.950682,48,88.141843
-177.856574,1370,92.047066
-101.284148,56,92.214702
-105.81247,42,92.334122
-104.686451,102,92.671267
-105.067128,41,92.826304
-107.957519,129,93.203821
-104.498863,69,93.404353
-104.51003,56,93.579398
-153.432267,2000,99.246182
-104.136403,68,99.439939
-105.67571,65,99.626786
-106.709344,54,99.781503
-104.40655,62,99.959678
-105.113047,56,100.123093
-109.168274,93,100.383071
-105.11403,43,100.518273
-140.066167,628,102.432419
-107.559072,110,102.760475
-123.184191,106,103.079259
-102.709589,51,103.232824
-105.883927,42,103.358928
-104.697883,38,103.472998
-106.646468,48,103.613937
-104.681375,44,103.748766
-104.857398,61,103.929238
-103.847964,57,104.10134
-105.530878,55,104.262216
-142.375326,449,105.609099
-110.988933,161,106.084556
-107.4371,45,106.221589
-106.697467,43,106.34733
-103.892014,65,106.541324
-103.724629,56,106.711565
-103.473983,70,106.95489
-108.015464,50,107.094834
-111.439859,203,107.676377
-105.029597,51,107.823509
-103.139023,99,108.105022
-144.760998,527,109.702848
-102.142995,60,109.888398
-104.848677,50,110.040664
-103.686847,55,110.203033
-108.491737,186,110.765394
-101.992842,54,110.932018
-102.432116,57,111.10746
-104.330922,63,111.303188
-106.894387,57,111.477665
-103.617464,48,111.629731
-102.687061,80,111.864537
-106.888569,53,112.024605
-107.129854,43,112.155082
-108.629542,98,112.439855
-104.49113,47,112.585618
-105.797584,51,112.734596
-104.346178,68,112.969134
-124.874403,113,113.310885
-106.776545,43,113.447472
-104.579293,36,113.558353
-145.292042,715,115.685052
-107.583593,58,115.855183
-107.066163,45,115.98382
-105.789519,34,116.082456
-130.64777,557,117.697221
-107.303198,58,117.858268
-160.649006,2000,123.749784
-105.427765,51,123.906193
-106.22404,50,124.06732
-104.268398,66,124.257083
-110.588095,72,124.482152
-104.715659,50,124.637145
-106.909588,66,124.908917
-105.757085,150,125.367294
-106.239963,77,125.600712
-113.574232,371,126.707453
-106.846255,87,126.982492
-102.117578,50,127.136011
-104.519325,45,127.27994
-105.66145,42,127.412033
-102.392972,69,127.625839
-107.256433,64,127.810775
-103.527791,60,128.005183
-102.432774,59,128.1845
-105.75391,51,128.336798
-103.607044,49,128.483154
-117.724462,461,129.886801
-116.933444,122,130.243979
-104.30514,84,130.501961
-105.579613,53,130.669408
-105.891117,41,130.825286
-102.844414,76,131.055448
-114.5826,233,131.748957
-118.498048,329,132.754623
-112.577309,247,133.50306
-152.939641,776,135.823618
-104.417685,66,136.005752
-110.53255,169,136.487213
-113.642261,223,137.157355
-106.04458,59,137.330777
-106.172271,70,137.527274
-104.483021,48,137.665031
-104.626381,47,137.802707
-105.77891,54,137.959034
-105.123836,46,138.08762
-171.909923,2000,143.796264
-103.880231,85,144.038974
-106.353734,39,144.154151
-110.129645,54,144.311825
-106.094,36,144.414071
-178.399902,938,147.161354
-125.135725,497,148.584838
-106.369526,107,148.926566
-101.797008,62,149.122012
-105.739324,125,149.493281
-144.030208,657,151.435467
-102.655156,54,151.593822
-104.451048,40,151.720588
-106.683972,38,151.834832
-106.401414,36,151.949808
-104.596883,101,152.233187
-104.217137,58,152.401328
-102.712349,70,152.598962
-104.893502,43,152.737395
-102.259072,122,153.11818
-110.323957,65,153.304854
-104.731934,71,153.509161
-107.433867,49,153.648185
-103.981417,48,153.785927
-169.120056,2000,159.540068
-105.607421,58,159.712608
-130.174009,523,161.274936
-108.282748,80,161.507458
-103.441762,49,161.646221
-136.52945,605,163.368163
-103.418592,55,163.52726
-109.680482,62,163.702376
-108.789737,87,163.963922
-107.852467,37,164.069543
-105.431119,43,164.196319
-254.720179,1835,169.497904
-102.171321,64,169.680205
-167.860656,1053,172.776365
-103.248974,51,172.928643
-137.180723,582,174.67932
-103.053326,50,174.860471
-104.786811,37,174.964505
-104.456246,53,175.124668
-103.451702,62,175.300298
-107.427921,41,175.427921
-187.028384,2000,181.264401
-103.688368,51,181.435997
-102.902031,50,181.576599
-103.701021,58,181.741349
-107.184795,49,181.891012
-104.536914,70,182.085453
-102.264066,57,182.251301
-121.621904,330,183.208255
-104.943151,42,183.335808
-105.238217,51,183.487953
-106.039348,54,183.649657
-147.357364,681,185.607287
-104.866069,59,185.775219
-119.145292,95,186.050276
-103.669677,52,186.201505
-104.934054,36,186.307324
-104.158822,47,186.442855
-143.573731,604,188.269592
-106.552551,89,188.517607
-106.228458,47,188.660102
-104.947194,49,188.828183
-108.816969,41,188.949631
-175.53027,2000,194.717392
-110.646222,59,194.886172
-104.61036,51,195.034051
-105.110069,62,195.204792
-102.327233,52,195.353432
-105.883379,52,195.499743
-175.227654,2000,201.320993
-104.863518,90,201.593762
-105.868607,36,201.70082
-105.987393,40,201.823823
-107.003706,44,201.955056
-103.59288,73,202.170583
-109.818024,57,202.343337
-104.691973,72,202.559813
-104.556985,48,202.70679
-109.994995,83,202.952428
-109.781189,62,203.125033
-181.280132,2000,208.878944
-107.029302,41,209.007445
-104.887347,33,209.104293
-103.808391,49,209.24463
-105.407335,64,209.431189
-104.861057,47,209.568535
-111.669682,65,209.754358
-134.565726,554,211.382042
-107.166382,36,211.483042
-189.896992,2000,217.179399
-104.899587,44,217.310584
-104.313853,57,217.47743
-106.90252,38,217.592277
-135.848747,169,218.070365
-104.153743,60,218.252633
-106.010267,83,218.493739
-151.448431,709,220.514591
-131.664665,527,222.090623
-140.836351,605,223.841805
-107.240326,70,224.048664
-103.339691,47,224.184242
-192.645478,1425,228.262883
-105.674679,43,228.382473
-106.257312,52,228.536726
-105.242972,50,228.679509
-105.021462,48,228.829088
-105.604803,74,229.0391
-106.947671,64,229.224375
-105.656632,37,229.330984
-107.968355,52,229.486174
-106.211022,51,229.629736
-107.429007,31,229.733299
-121.301795,414,230.998328
-261.477658,1683,235.71553
-107.017671,86,235.972547
-107.054053,95,236.225866
-108.831211,75,236.42855
-106.438674,41,236.543689
-107.499113,70,236.731634
-150.707534,690,238.672821
-104.865013,58,238.86336
-113.685031,141,239.250357
-103.987155,57,239.40343
-106.034056,46,239.52836
-110.297659,80,239.755375
-107.354141,43,239.885638
-106.852354,57,240.046021
-105.804167,49,240.190843
-105.880182,51,240.32717
-106.581336,40,240.436129
-115.829622,136,240.829131
-104.606313,48,240.957892
-109.386855,71,241.15578
-103.109621,61,241.320711
-106.262315,48,241.461112
-109.923439,71,241.65772
-105.553898,68,241.853713
-107.095956,37,241.953625
-107.751872,42,242.072626
-105.908663,43,242.192238
-103.441342,45,242.318815
-105.269712,47,242.449295
-107.356283,36,242.552865
