#{"t_start": 1620067330.0416446, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-126.736004,84,0.287862
-105.800215,69,0.487387
-102.191042,61,0.664959
-104.012425,50,0.819227
-127.038448,105,1.129433
-144.080735,633,2.91838
-104.488313,66,3.112546
-102.198048,53,3.26882
-102.806928,62,3.460783
-104.808455,60,3.63457
-126.402473,137,4.060266
-105.491921,86,4.321017
-107.284371,128,4.700436
-110.381403,59,4.881626
-108.877758,70,5.093552
-103.833725,62,5.27656
-102.780701,48,5.4255
-104.995176,45,5.555156
-107.586923,67,5.751765
-101.742025,59,5.929553
-104.606638,55,6.095409
-123.505269,110,6.408407
-107.184279,93,6.688092
-112.50606,52,6.860473
-103.548352,58,7.031348
-104.218434,59,7.206169
-105.487197,85,7.4458
-103.481217,51,7.603031
-103.29618,59,7.773243
-103.295666,49,7.911631
-103.34797,64,8.094041
-102.546365,55,8.249518
-103.904927,43,8.376742
-102.593965,69,8.571592
-104.35435,45,8.702346
-163.813413,2000,14.509335
-101.544237,47,14.643272
-105.582424,52,14.825793
-100.101964,50,14.975447
-100.417651,83,15.225227
-101.855884,43,15.358686
-102.335562,54,15.516668
-100.439537,202,16.125455
-118.020717,466,17.550838
-102.909116,67,17.764327
-102.864826,54,17.939227
-110.329492,38,18.06285
-103.012919,52,18.219352
-102.162364,54,18.383847
-101.840506,48,18.540504
-108.955912,95,18.835906
-100.648336,72,19.047587
-129.119052,131,19.464314
-104.346893,51,19.622116
-104.16681,42,19.761465
-100.513794,57,19.938812
-98.731574,102,20.264915
-102.641414,43,20.394832
-113.032627,44,20.534087
-183.004123,2000,26.351618
-108.582607,82,26.595093
-105.712227,68,26.83249
-116.901406,114,27.167437
-118.607814,520,28.70562
-101.737341,56,28.903822
-104.19896,58,29.084143
-93.679754,109,29.394634
-117.654742,78,29.643285
-101.553467,69,29.849375
-103.080806,48,29.994969
-105.07488,45,30.13365
-108.695774,46,30.271844
-175.43671,1314,34.168631
-109.25479,180,34.697224
-99.388679,64,34.923387
-106.66794,85,35.174857
-102.530703,48,35.322992
-103.015107,54,35.487306
-105.369475,106,35.79706
-158.353808,852,38.240373
-100.018631,62,38.419252
-102.026431,92,38.68522
-103.963288,86,38.969065
-101.369481,56,39.126859
-97.278734,108,39.433494
-133.199179,639,41.278581
-97.560979,88,41.545043
-104.419713,61,41.728159
-104.932535,78,41.96892
-102.202371,52,42.125543
-100.155984,58,42.293469
