iteration,num_frames,time_in_s,species_id,size,age,stagnation,fitness,adjusted_fitness
0,75376,0.0016369819641113281,1,200,0,0,,
1,145612,4.723313808441162,1,200,1,1,-109.0279542610743,0.392773289083624
2,227877,9.947578191757202,1,200,2,2,-111.39249696556533,0.5601615529147872
3,312870,15.109224557876587,1,200,3,3,-111.4484510808366,0.6168662269716191
4,406463,20.68815040588379,1,200,4,4,-110.39931054339979,0.5474655196361339
5,499970,26.209203958511353,1,200,5,5,-109.2827284189464,0.6272147095141549
6,594983,31.786451816558838,1,200,6,6,-111.21839817842032,0.6352074272483624
