iteration,num_frames,time_in_s,species_id,size,age,stagnation,fitness,adjusted_fitness
0,12526,0.0013203620910644531,1,109,0,0,,
0,12526,0.0013289451599121094,2,41,0,0,,
1,24741,0.8291411399841309,2,85,1,1,-376.3580469462853,0.7465838468532949
1,24741,0.8291735649108887,1,65,1,1,-372.0650156223609,0.7483198794395739
2,36695,1.2974841594696045,2,85,2,1,-311.3053310126887,0.8137887268613954
2,36695,1.2974944114685059,1,48,2,1,-268.8786570490997,0.8354562849566257
2,36695,1.2975006103515625,3,17,1,1,,
3,48265,1.7033755779266357,3,47,2,1,-294.62976633664925,0.7682334290334886
3,48265,1.7033865451812744,2,50,3,1,-244.80678273594054,0.8024367586193035
3,48265,1.7033941745758057,1,44,3,1,-221.53099733316444,0.8184155158507056
3,48265,1.703402042388916,4,10,1,1,,
4,60627,2.2730283737182617,3,41,3,1,-228.52115597435025,0.7811730685296645
4,60627,2.273066997528076,1,34,4,1,-191.8636266663575,0.8100549636696074
4,60627,2.273077964782715,2,24,4,1,-146.1050996253949,0.8461073928622963
4,60627,2.273088216781616,4,50,2,1,-143.14446932384786,0.8484400272632396
5,72921,2.7342491149902344,3,42,4,2,-252.7316159193941,0.6697977354920611
5,72921,2.734262466430664,2,45,5,2,-207.0017475565404,0.701547875955969
5,72921,2.734269142150879,4,33,3,2,-166.29775739098812,0.7298085609626108
5,72921,2.7342920303344727,1,24,5,1,-164.72149133160997,0.7309029587946064
5,72921,2.7343010902404785,5,5,1,1,,
6,86637,4.46374773979187,5,30,2,1,-469.42912934619574,0.42532321944729246
6,86637,4.463781833648682,1,15,6,2,-179.91231811629902,0.6652934465197248
6,86637,4.463788986206055,3,34,5,1,-152.30680986922403,0.6881746742258429
6,86637,4.463795900344849,4,36,4,3,-144.60090314279844,0.6945618272864331
6,86637,4.463805198669434,2,35,6,1,-117.24722508327882,0.7172343218725826
7,99138,4.92580509185791,3,29,6,2,-200.69870991432956,0.6926263153836247
7,99138,4.925820827484131,5,25,3,1,-192.92544069469253,0.7021622703291133
7,99138,4.925832033157349,2,35,7,2,-170.6274667702686,0.729516587889841
7,99138,4.925857067108154,1,29,7,1,-144.6932660810891,0.7613316919768726
7,99138,4.925887584686279,4,31,5,1,-118.49265677217006,0.7934736161602037
8,111304,5.368527889251709,2,31,8,3,-186.10930743262054,0.6604824829899761
8,111304,5.3685643672943115,5,27,4,1,-133.39500230907169,0.7427606755164787
8,111304,5.368574619293213,3,23,7,1,-132.17360423823095,0.744667073132621
8,111304,5.368583917617798,4,28,6,2,-125.02919396009307,0.7558182997868514
8,111304,5.368593692779541,1,40,8,1,-118.14929269490584,0.7665566722178963
