#{"t_start": 1620068665.118943, "env_id": "CartPole-v0"}
r,l,t
116.0,116,49.788026
77.0,77,49.962465
123.0,123,50.248797
103.0,103,50.480002
121.0,121,50.766385
104.0,104,51.012425
108.0,108,51.273744
95.0,95,51.495321
116.0,116,51.822411
121.0,121,52.210291
48.0,48,52.327609
120.0,120,52.62485
59.0,59,52.760706
100.0,100,53.010098
117.0,117,53.295914
113.0,113,53.565217
111.0,111,53.854143
103.0,103,54.104207
66.0,66,54.256483
114.0,114,54.535414
98.0,98,54.758146
116.0,116,55.043688
121.0,121,55.355183
113.0,113,55.617586
116.0,116,55.92737
94.0,94,56.144691
138.0,138,56.502927
108.0,108,56.766356
89.0,89,57.016074
101.0,101,57.254676
183.0,183,57.708901
135.0,135,58.02053
101.0,101,58.254918
109.0,109,58.499736
118.0,118,58.778222
108.0,108,59.021948
116.0,116,59.335144
100.0,100,59.593629
105.0,105,59.882071
161.0,161,60.264683
159.0,159,60.636065
86.0,86,60.850952
107.0,107,61.10046
106.0,106,61.341698
158.0,158,61.75192
136.0,136,62.066181
108.0,108,62.332234
106.0,106,62.580163
123.0,123,62.877327
90.0,90,63.0971
106.0,106,63.343468
93.0,93,63.559969
100.0,100,63.808451
107.0,107,64.066623
99.0,99,64.29368
105.0,105,64.557111
99.0,99,64.796616
107.0,107,65.04629
113.0,113,65.304722
140.0,140,65.726787
104.0,104,65.98548
123.0,123,66.278978
48.0,48,66.387286
100.0,100,66.682159
139.0,139,67.109594
116.0,116,67.396058
98.0,98,67.653683
124.0,124,68.048553
110.0,110,68.344681
102.0,102,68.572987
106.0,106,68.814338
109.0,109,69.071393
102.0,102,69.343104
99.0,99,69.570782
110.0,110,69.818302
107.0,107,70.066605
109.0,109,70.312612
98.0,98,70.537991
55.0,55,70.66484
108.0,108,70.916367
104.0,104,71.15486
93.0,93,71.389945
116.0,116,71.678353
128.0,128,72.020558
96.0,96,72.250649
110.0,110,72.551193
92.0,92,72.772941
58.0,58,72.971878
96.0,96,73.204122
107.0,107,73.460203
115.0,115,73.807678
77.0,77,74.040353
115.0,115,74.348361
112.0,112,74.651118
100.0,100,74.908657
121.0,121,75.267895
51.0,51,75.391032
55.0,55,75.558915
102.0,102,75.870944
53.0,53,76.002875
55.0,55,76.171962
59.0,59,76.331849
57.0,57,76.466784
46.0,46,76.576894
73.0,73,76.763577
44.0,44,76.867902
51.0,51,76.990886
45.0,45,77.11189
72.0,72,77.27968
62.0,62,77.428986
61.0,61,77.563033
42.0,42,77.662819
57.0,57,77.810976
56.0,56,77.975357
41.0,41,78.081989
38.0,38,78.184811
101.0,101,78.425156
50.0,50,78.540184
65.0,65,78.691055
105.0,105,78.943427
50.0,50,79.053295
56.0,56,79.184005
101.0,101,79.431761
69.0,69,79.624117
110.0,110,79.955314
64.0,64,80.13782
98.0,98,80.400535
58.0,58,80.589646
101.0,101,80.838748
53.0,53,80.963829
57.0,57,81.095102
63.0,63,81.268828
107.0,107,81.540399
59.0,59,81.709853
103.0,103,81.98246
108.0,108,82.230835
115.0,115,82.531921
100.0,100,82.772148
108.0,108,83.026484
99.0,99,83.261726
109.0,109,83.510751
101.0,101,83.795272
97.0,97,84.009317
130.0,130,84.326278
115.0,115,84.60399
121.0,121,84.886348
113.0,113,85.143393
136.0,136,85.461663
140.0,140,85.809409
138.0,138,86.158247
125.0,125,86.465518
132.0,132,86.810567
144.0,144,87.154911
127.0,127,87.455306
127.0,127,87.788132
128.0,128,88.079214
117.0,117,88.414752
157.0,157,88.791032
135.0,135,89.128931
132.0,132,89.468783
114.0,114,89.733948
104.0,104,89.976374
121.0,121,90.258332
126.0,126,90.563601
120.0,120,90.91401
133.0,133,91.279875
137.0,137,91.613575
140.0,140,91.993779
164.0,164,92.390785
106.0,106,92.640673
154.0,154,93.018648
117.0,117,93.320172
111.0,111,93.58172
126.0,126,93.900872
127.0,127,94.203916
200.0,200,94.684435
128.0,128,95.021409
160.0,160,95.422418
197.0,197,95.960333
111.0,111,96.241806
200.0,200,96.738272
118.0,118,97.000741
124.0,124,97.282019
116.0,116,97.545619
98.0,98,97.791682
134.0,134,98.109133
135.0,135,98.414702
117.0,117,98.675392
127.0,127,98.972386
135.0,135,99.28998
122.0,122,99.568445
102.0,102,99.835006
104.0,104,100.076904
113.0,113,100.337926
116.0,116,100.600392
114.0,114,100.887914
127.0,127,101.179736
110.0,110,101.431684
101.0,101,101.658684
120.0,120,101.963709
131.0,131,102.267186
130.0,130,102.579198
200.0,200,103.057115
123.0,123,103.347505
101.0,101,103.58608
97.0,97,103.814592
127.0,127,104.107656
122.0,122,104.389692
105.0,105,104.645734
110.0,110,104.932804
116.0,116,105.201686
106.0,106,105.447788
118.0,118,105.749624
122.0,122,106.042848
118.0,118,106.306089
142.0,142,106.632168
112.0,112,106.911624
108.0,108,107.164084
99.0,99,107.391337
68.0,68,107.552541
53.0,53,107.675725
98.0,98,107.891306
121.0,121,108.16699
109.0,109,108.418797
111.0,111,108.67408
71.0,71,108.840208
71.0,71,109.00201
104.0,104,109.241482
70.0,70,109.400332
45.0,45,109.50271
101.0,101,109.773059
103.0,103,110.007512
86.0,86,110.204505
66.0,66,110.353689
66.0,66,110.50097
124.0,124,110.794699
104.0,104,111.034434
81.0,81,111.213568
75.0,75,111.393285
101.0,101,111.626171
110.0,110,111.913116
128.0,128,112.210128
118.0,118,112.520258
59.0,59,112.667944
100.0,100,112.92544
58.0,58,113.065335
124.0,124,113.345883
111.0,111,113.598567
80.0,80,113.808062
60.0,60,113.954585
81.0,81,114.154649
118.0,118,114.437193
56.0,56,114.576876
51.0,51,114.706032
64.0,64,114.853489
62.0,62,114.995119
64.0,64,115.157501
49.0,49,115.279622
62.0,62,115.449645
47.0,47,115.568581
46.0,46,115.674153
50.0,50,115.845645
62.0,62,116.001223
103.0,103,116.239334
104.0,104,116.485704
47.0,47,116.602564
59.0,59,116.745298
46.0,46,116.853073
75.0,75,117.027278
64.0,64,117.173274
35.0,35,117.25067
37.0,37,117.333289
73.0,73,117.508267
65.0,65,117.661189
127.0,127,117.984073
119.0,119,118.253799
121.0,121,118.534218
136.0,136,118.847363
114.0,114,119.107509
110.0,110,119.358699
135.0,135,119.66717
144.0,144,120.007235
121.0,121,120.297537
124.0,124,120.585589
117.0,117,120.869006
117.0,117,121.139156
116.0,116,121.414905
120.0,120,121.715648
129.0,129,122.029676
61.0,61,122.166161
74.0,74,122.340408
81.0,81,122.525117
60.0,60,122.665983
64.0,64,122.814661
111.0,111,123.071077
144.0,144,123.39319
65.0,65,123.548358
109.0,109,123.800968
116.0,116,124.082081
137.0,137,124.414099
105.0,105,124.652525
113.0,113,124.914629
113.0,113,125.172387
111.0,111,125.433084
132.0,132,125.766937
121.0,121,126.063089
107.0,107,126.32545
105.0,105,126.557982
106.0,106,126.792711
98.0,98,127.021156
105.0,105,127.263783
129.0,129,127.565376
116.0,116,127.839159
114.0,114,128.094684
101.0,101,128.32899
118.0,118,128.618109
118.0,118,128.898953
115.0,115,129.194839
105.0,105,129.433908
106.0,106,129.681784
103.0,103,129.945719
133.0,133,130.275393
119.0,119,130.5624
119.0,119,130.842257
114.0,114,131.092844
108.0,108,131.343761
153.0,153,131.721336
