iteration,num_frames,time_in_s,fitness,loss
0,25,9.298324584960938e-05,0.0,7.342018127441406
1,50,0.01236271858215332,0.0,7.265822410583496
2,75,0.024929046630859375,11.666666666666666,4.803203582763672
3,100,0.03726696968078613,19.0,7.347078323364258
4,125,0.049643516540527344,13.0,5.4457688331604
5,150,0.061579227447509766,9.0,6.7432990074157715
6,175,0.07276272773742676,9.0,7.493692398071289
7,200,0.08501696586608887,18.333333333333332,4.8006086349487305
8,225,0.0969083309173584,18.333333333333332,7.446640491485596
9,250,0.10850238800048828,18.333333333333332,7.244361400604248
10,275,0.11950516700744629,18.333333333333332,7.159416675567627
11,300,0.13128924369812012,22.0,6.363439083099365
12,325,0.14366364479064941,28.666666666666668,4.382269859313965
13,350,0.15469670295715332,28.666666666666668,6.805978298187256
14,375,0.1666100025177002,21.333333333333332,4.709870338439941
15,400,0.17822742462158203,21.333333333333332,7.283388137817383
16,425,0.18987631797790527,21.0,6.546045780181885
17,450,0.20143747329711914,20.0,6.554068088531494
18,475,0.21486282348632812,21.0,6.339857578277588
19,500,0.22717952728271484,13.0,5.6385498046875
20,525,0.23939204216003418,27.5,5.532222270965576
21,550,0.25092625617980957,12.0,6.3184943199157715
22,575,0.2624053955078125,11.0,6.21321439743042
23,600,0.27318501472473145,11.0,7.1943793296813965
24,625,0.284653902053833,19.5,5.7012529373168945
25,650,0.29669809341430664,20.333333333333332,4.686988353729248
26,675,0.3078346252441406,7.0,6.624869346618652
27,700,0.3187112808227539,7.0,7.278614044189453
28,725,0.32968640327453613,7.0,7.2266316413879395
29,750,0.34125423431396484,23.0,6.682090759277344
30,775,0.3523533344268799,30.0,6.217206954956055
31,800,0.36437058448791504,28.5,5.9635725021362305
32,825,0.3761723041534424,8.0,6.618684768676758
33,850,0.38810229301452637,9.5,5.205337047576904
34,875,0.399294376373291,9.5,7.1766462326049805
35,900,0.41060686111450195,9.5,7.2176432609558105
36,925,0.42228174209594727,33.0,5.365124702453613
37,950,0.4339160919189453,19.5,5.328178882598877
38,975,0.44571661949157715,12.0,6.618968963623047
39,1000,0.4580557346343994,9.0,6.302162170410156
40,1025,0.46988391876220703,9.0,7.170291423797607
41,1050,0.48198819160461426,19.5,5.601003646850586
42,1075,0.49388742446899414,21.0,6.503825664520264
43,1100,0.5054318904876709,40.0,5.367895126342773
44,1125,0.5164337158203125,40.0,7.314516544342041
45,1150,0.5281322002410889,13.0,5.167379379272461
46,1175,0.5396497249603271,21.0,6.158609390258789
47,1200,0.5510082244873047,22.0,6.5967864990234375
48,1225,0.5630207061767578,27.5,5.204483509063721
49,1250,0.5740015506744385,27.5,7.183290481567383
50,1275,0.5851883888244629,11.0,6.283324718475342
51,1300,0.5972537994384766,15.5,5.2632856369018555
52,1325,0.6082358360290527,15.5,7.318050861358643
53,1350,0.6196157932281494,15.0,6.61521053314209
54,1375,0.6319229602813721,15.0,7.129345417022705
55,1400,0.6437985897064209,46.0,5.2170586585998535
56,1425,0.6554253101348877,22.0,6.248724460601807
57,1450,0.6664865016937256,22.0,7.313547134399414
58,1475,0.6782371997833252,24.666666666666668,5.062387466430664
59,1500,0.690500020980835,21.0,6.289726257324219
60,1525,0.7016148567199707,21.0,7.266603469848633
61,1550,0.7131588459014893,21.0,7.264988422393799
62,1575,0.7243573665618896,21.0,5.640744209289551
63,1600,0.735309362411499,20.0,6.62455940246582
64,1625,0.7472872734069824,23.666666666666668,5.099888801574707
65,1650,0.7581846714019775,23.666666666666668,7.237170696258545
