num_frames,fitness,loss
25,0.0,
50,0.0,
75,0.0,
100,0.0,
125,0.0,
150,0.0,
175,0.0,
200,0.0,
225,0.0,
250,0.0,
275,-107.56916847941466,
300,-115.516906298697,
325,-115.516906298697,
350,-115.516906298697,
375,-115.516906298697,
400,-115.516906298697,
425,-115.516906298697,
450,-103.17317938746419,
475,-103.17317938746419,
500,-112.58499989286065,
525,-112.58499989286065,
550,-112.58499989286065,
575,-112.58499989286065,
600,-112.58499989286065,
625,-112.58499989286065,
650,-112.58499989286065,
675,-112.58499989286065,
700,-112.58499989286065,
725,-112.58499989286065,
750,-105.44635676965117,
775,-105.44635676965117,
800,-105.44635676965117,
825,-105.44635676965117,
850,-105.44635676965117,
875,-105.44635676965117,
900,-105.44635676965117,
925,-105.44635676965117,
950,-105.44635676965117,
975,-105.44635676965117,
1000,-105.44635676965117,
1025,-105.44635676965117,
1050,-104.29935581749305,
1075,-104.29935581749305,
1100,-104.29935581749305,
1125,-104.29935581749305,
1150,-104.29935581749305,
1175,-104.29935581749305,
1200,-104.29935581749305,
1225,-104.29935581749305,
1250,-104.29935581749305,
1275,-104.29935581749305,
1300,-104.29935581749305,
1325,-104.29935581749305,
1350,-104.29935581749305,
1375,-104.29935581749305,
1400,-103.11686733760871,
1425,-103.11686733760871,
1450,-103.11686733760871,
1475,-103.11686733760871,
1500,-103.11686733760871,
1525,-103.11686733760871,
1550,-103.11686733760871,
1575,-103.11686733760871,
1600,-103.11686733760871,
1625,-103.11686733760871,
1650,-103.11686733760871,
1675,-103.11686733760871,
1700,-103.11686733760871,
1725,-106.90314986160956,
1750,-106.90314986160956,
1775,-106.90314986160956,
1800,-106.90314986160956,
1825,-106.90314986160956,
1850,-106.90314986160956,
1875,-106.90314986160956,
1900,-106.90314986160956,
1925,-106.90314986160956,
1950,-106.90314986160956,
1975,-106.90314986160956,
2000,-106.90314986160956,
2025,-106.90314986160956,
2050,-112.62358847481664,
2075,-112.62358847481664,
2100,-112.62358847481664,
2125,-112.62358847481664,
2150,-112.62358847481664,
2175,-112.62358847481664,
2200,-112.62358847481664,
2225,-112.62358847481664,
2250,-112.62358847481664,
2275,-112.62358847481664,
2300,-112.62358847481664,
2325,-112.62358847481664,
2350,-112.62358847481664,
2375,-112.62358847481664,
2400,-112.62358847481664,
2425,-112.62358847481664,
2450,-110.83052642131224,
2475,-110.83052642131224,
2500,-110.83052642131224,
2525,-110.83052642131224,
2550,-110.83052642131224,
2575,-110.83052642131224,
2600,-110.83052642131224,
2625,-110.83052642131224,
2650,-110.83052642131224,
2675,-110.83052642131224,
2700,-110.83052642131224,
2725,-110.83052642131224,
2750,-110.83052642131224,
2775,-110.83052642131224,
2800,-110.83052642131224,
2825,-113.69041787646711,
2850,-113.69041787646711,
2875,-113.69041787646711,
2900,-113.69041787646711,
2925,-151.2134874607582,
2950,-151.2134874607582,
2975,-151.2134874607582,
3000,-151.2134874607582,
3025,-151.2134874607582,
3050,-151.2134874607582,
3075,-151.2134874607582,
3100,-111.25652455538511,
3125,-111.25652455538511,
3150,-111.25652455538511,
3175,-111.25652455538511,
3200,-110.24824546184391,
3225,-110.24824546184391,
3250,-110.24824546184391,
3275,-110.24824546184391,
3300,-110.24824546184391,
3325,-110.24824546184391,
3350,-110.24824546184391,
3375,-110.24824546184391,
3400,-164.45637310744496,
3425,-164.45637310744496,
3450,-164.45637310744496,
3475,-164.45637310744496,
3500,-113.11702402029186,
3525,-113.11702402029186,
3550,-113.11702402029186,
3575,-113.11702402029186,
3600,-113.11702402029186,
3625,-114.9061495672795,
3650,-114.9061495672795,
3675,-112.04088102653623,
3700,-112.04088102653623,
3725,-112.04088102653623,
3750,-112.04088102653623,
3775,-112.04088102653623,
3800,-112.04088102653623,
3825,-107.24294405709952,
3850,-107.24294405709952,
3875,-110.65156532556284,
3900,-110.65156532556284,
3925,-110.65156532556284,
3950,-110.65156532556284,
3975,-110.65156532556284,
4000,-106.74960742621624,
4025,-106.74960742621624,
4050,-106.74960742621624,
4075,-106.74960742621624,
4100,-106.74960742621624,
4125,-106.74960742621624,
4150,-106.74960742621624,
4175,-113.29384047910571,
4200,-113.29384047910571,
4225,-113.29384047910571,
4250,-113.29384047910571,
4275,-113.50272516347468,
4300,-113.50272516347468,
4325,-117.58829169193632,
4350,-117.58829169193632,
4375,-117.58829169193632,
4400,-117.58829169193632,
4425,-117.58829169193632,
4450,-117.58829169193632,
4475,-117.58829169193632,
4500,-117.58829169193632,
4525,-117.58829169193632,
4550,-117.58829169193632,
4575,-117.58829169193632,
4600,-108.96905497892294,
4625,-115.3148297634907,
4650,-116.42739371070638,
4675,-116.42739371070638,
4700,-116.42739371070638,
4725,-116.42739371070638,
4750,-116.42739371070638,
4775,-116.42739371070638,
4800,-116.42739371070638,
4825,-116.42739371070638,
4850,-109.36272554844618,
4875,-109.36272554844618,
4900,-109.36272554844618,
4925,-114.48751351772808,
4950,-114.48751351772808,
4975,-114.48751351772808,
5000,-114.48751351772808,
5025,-114.48751351772808,
5050,-114.48751351772808,
5075,-114.48751351772808,
5100,-114.48751351772808,
5125,-117.61542654712684,
5150,-108.9665508819744,
5175,-108.9665508819744,
5200,-108.9665508819744,
5225,-108.9665508819744,
5250,-108.9665508819744,
5275,-108.18974708748283,
5300,-108.18974708748283,
5325,-108.18974708748283,
5350,-108.18974708748283,
5375,-108.18974708748283,
5400,-108.18974708748283,
5425,-108.18974708748283,
5450,-108.18974708748283,
5475,-108.18974708748283,
5500,-114.67825615406036,
5525,-114.67825615406036,
5550,-114.67825615406036,
5575,-107.06583830877207,
5600,-107.06583830877207,
5625,-107.06583830877207,
5650,-107.06583830877207,
5675,-109.01944768475369,
5700,-109.01944768475369,
5725,-109.01944768475369,
5750,-109.01944768475369,
5775,-109.01944768475369,
5800,-110.9126923205331,
5825,-110.9126923205331,
5850,-110.9126923205331,
5875,-110.9126923205331,
5900,-110.9126923205331,
5925,-111.3267151999753,
5950,-111.3267151999753,
5975,-111.3267151999753,
6000,-111.3267151999753,
6025,-111.3267151999753,
6050,-111.3267151999753,
6075,-114.05351434298791,
6100,-106.96014682098757,
6125,-106.96014682098757,
6150,-106.96014682098757,
6175,-106.96014682098757,
6200,-106.96014682098757,
6225,-106.96014682098757,
