iteration,num_frames,time_in_s,species_id,size,age,stagnation,fitness,adjusted_fitness
0,3142,0.0018696784973144531,1,200,0,0,,
1,10628,0.0964667797088623,1,200,1,1,171.0,0.04730061349693252
2,21201,0.1981031894683838,1,200,2,1,200.0,0.15328125
3,32934,0.3148624897003174,1,200,3,2,200.0,0.233671875
4,50381,0.4537394046783447,1,200,4,3,200.0,0.2638802083333333
5,68445,0.5957057476043701,1,200,5,4,200.0,0.41268229166666665
6,87680,0.7738602161407471,1,200,6,5,200.0,0.42874999999999996
7,106640,0.922001838684082,1,200,7,6,200.0,0.45924479166666665
8,128277,1.072113037109375,1,200,8,7,200.0,0.45208333333333334
9,145902,1.2041969299316406,1,200,9,8,200.0,0.521796875
10,161990,1.3646290302276611,1,200,10,9,200.0,0.4173177083333333
11,178019,1.4926762580871582,1,200,11,10,200.0,0.37729166666666664
12,194661,1.624824047088623,1,200,12,11,200.0,0.3757552083333333
13,211471,1.7525155544281006,1,200,13,12,200.0,0.39171874999999995
14,229383,1.8908450603485107,1,200,14,13,200.0,0.39609374999999997
15,247384,2.030357837677002,1,200,15,14,200.0,0.4247916666666667
16,266671,2.166785717010498,1,200,16,15,200.0,0.42710937499999996
17,285937,2.3104493618011475,1,200,17,16,200.0,0.46059895833333336
18,306350,2.458606481552124,1,200,18,17,200.0,0.4600520833333333
19,327558,2.6155641078948975,1,200,19,18,200.0,0.489921875
20,349054,2.7711517810821533,1,200,20,19,200.0,0.510625
21,371325,2.940333366394043,1,200,21,20,200.0,0.5181250000000001
22,394016,3.09700083732605,1,200,22,21,200.0,0.5383072916666667
23,415414,3.2536590099334717,1,200,23,22,200.0,0.5492447916666666
24,439421,3.415111780166626,1,200,24,23,200.0,0.5155729166666666
25,461706,3.5719926357269287,1,200,25,24,200.0,0.583515625
26,482598,3.722235918045044,1,200,26,25,200.0,0.538671875
27,506354,3.9316422939300537,1,200,27,26,200.0,0.5023958333333333
