iteration,num_frames,time_in_s,individual_id,species_id,fitness,num_nodes,num_connections
0,70590,0.00020813941955566406,1,1,-102.71035938356587,4,96
0,70590,0.0002636909484863281,2,1,-140.5851926782723,4,96
0,70590,0.0002739429473876953,3,1,-120.83519091897669,4,96
0,70590,0.00028228759765625,4,1,-94.95343418916995,4,96
0,70590,0.00029087066650390625,5,1,-126.19021075250586,4,96
0,70590,0.0002989768981933594,6,1,-114.67472203695418,4,96
0,70590,0.0003066062927246094,7,1,-106.35010146225137,4,96
0,70590,0.00031447410583496094,8,1,-121.9085531949931,4,96
0,70590,0.0003223419189453125,9,1,-107.96238076059807,4,96
0,70590,0.00033020973205566406,10,1,-94.58107771414954,4,96
0,70590,0.0003380775451660156,11,1,-121.99581721817707,4,96
0,70590,0.0003466606140136719,12,1,-113.34212969461532,4,96
0,70590,0.00035452842712402344,13,1,-117.66778312793411,4,96
0,70590,0.00036215782165527344,14,1,-125.669435517886,4,96
0,70590,0.00036978721618652344,15,1,-129.53092457242087,4,96
0,70590,0.00037789344787597656,16,1,-118.52901933146158,4,96
0,70590,0.000385284423828125,17,1,-118.65013179027875,4,96
0,70590,0.00039267539978027344,18,1,-108.00372844617405,4,96
0,70590,0.00040030479431152344,19,1,-120.36828826889018,4,96
0,70590,0.00040793418884277344,20,1,-108.15821838212409,4,96
0,70590,0.000415802001953125,21,1,-107.74871335754433,4,96
0,70590,0.00042319297790527344,22,1,-81.95347095400832,4,96
0,70590,0.0004305839538574219,23,1,-61.90443508617466,4,96
0,70590,0.0004379749298095703,24,1,-109.21093010339223,4,96
0,70590,0.0004458427429199219,25,1,-106.94326453595426,4,96
0,70590,0.0004532337188720703,26,1,-113.1952645316284,4,96
0,70590,0.0004608631134033203,27,1,-103.24765098626263,4,96
0,70590,0.0004687309265136719,28,1,-76.13658851611467,4,96
0,70590,0.0004763603210449219,29,1,-120.10932003588837,4,96
0,70590,0.00048422813415527344,30,1,-131.46568901413215,4,96
0,70590,0.000492095947265625,31,1,-113.89544349618005,4,96
0,70590,0.0004999637603759766,32,1,-118.3649886537499,4,96
0,70590,0.0005075931549072266,33,1,-160.7794722989695,4,96
0,70590,0.0005154609680175781,34,1,-144.42170595190456,4,96
0,70590,0.0005233287811279297,35,1,-119.35509490125435,4,96
0,70590,0.0005311965942382812,36,1,-135.68887609985737,4,96
0,70590,0.0005390644073486328,37,1,-103.05746994224529,4,96
0,70590,0.0005466938018798828,38,1,-137.51956331467971,4,96
0,70590,0.0005562305450439453,39,1,-116.195315883655,4,96
0,70590,0.0005643367767333984,40,1,-114.53207282072779,4,96
0,70590,0.0005724430084228516,41,1,-105.98783751290148,4,96
0,70590,0.0005800724029541016,42,1,-58.661017169384166,4,96
0,70590,0.0005879402160644531,43,1,-111.84439312368426,4,96
0,70590,0.0005955696105957031,44,1,-93.39134782342587,4,96
0,70590,0.0006031990051269531,45,1,-123.79653867913993,4,96
0,70590,0.0006103515625,46,1,-57.40632633612824,4,96
0,70590,0.0006177425384521484,47,1,-113.49463249565517,4,96
0,70590,0.0006251335144042969,48,1,-116.90379734559605,4,96
0,70590,0.0006330013275146484,49,1,-117.19034503955231,4,96
0,70590,0.0006420612335205078,50,1,-103.41444540240371,4,96
0,70590,0.0006501674652099609,51,1,-85.89839492827251,4,96
0,70590,0.0006580352783203125,52,1,-113.85040684577424,4,96
0,70590,0.0006659030914306641,53,1,-114.43346439457821,4,96
0,70590,0.0006735324859619141,54,1,-108.34549956483283,4,96
0,70590,0.0006809234619140625,55,1,-100.11636350078038,4,96
0,70590,0.0006883144378662109,56,1,-128.96373998926913,4,96
0,70590,0.0006959438323974609,57,1,-108.43088791293883,4,96
0,70590,0.0007038116455078125,58,1,-99.51911979310509,4,96
0,70590,0.0007116794586181641,59,1,-114.64436158387133,4,96
0,70590,0.0007188320159912109,60,1,-135.6341623294091,4,96
0,70590,0.0007264614105224609,61,1,-111.57341715261146,4,96
0,70590,0.0007340908050537109,62,1,-121.27904133085788,4,96
0,70590,0.0007419586181640625,63,1,-110.4505942737541,4,96
0,70590,0.0007498264312744141,64,1,-109.26113951826743,4,96
0,70590,0.0007569789886474609,65,1,-68.34890957219565,4,96
0,70590,0.0007643699645996094,66,1,-118.94840796537602,4,96
0,70590,0.0007717609405517578,67,1,-114.44477014362836,4,96
0,70590,0.0007791519165039062,68,1,-110.65890776344453,4,96
0,70590,0.0008063316345214844,69,1,-107.72826918511808,4,96
0,70590,0.0008141994476318359,70,1,-104.94657215834182,4,96
0,70590,0.0008223056793212891,71,1,-104.48725319619459,4,96
0,70590,0.0008299350738525391,72,1,-112.09031731245551,4,96
0,70590,0.0008461475372314453,73,1,-116.0167481855556,4,96
0,70590,0.0008544921875,74,1,-92.25713712643721,4,96
0,70590,0.00086212158203125,75,1,-103.01118725813028,4,96
0,70590,0.0008702278137207031,76,1,-104.38486154234405,4,96
0,70590,0.0008785724639892578,77,1,-108.24998881413698,4,96
0,70590,0.0008864402770996094,78,1,-119.15733028575939,4,96
0,70590,0.0008940696716308594,79,1,-103.69337710090763,4,96
0,70590,0.0009024143218994141,80,1,-110.3206657866684,4,96
0,70590,0.0009100437164306641,81,1,-70.0617877715352,4,96
0,70590,0.0009179115295410156,82,1,-112.3945402479462,4,96
0,70590,0.0009257793426513672,83,1,-118.50226981706136,4,96
0,70590,0.0009336471557617188,84,1,-102.95287624049651,4,96
0,70590,0.0009415149688720703,85,1,-120.96729451735058,4,96
0,70590,0.0009493827819824219,86,1,-122.37401800845643,4,96
