iteration,num_frames,time_in_s,individual_id,species_id,fitness,num_nodes,num_connections
0,69532,0.00034809112548828125,1,1,-126.5207761321679,4,96
0,69532,0.0003848075866699219,2,1,-104.86174208823753,4,96
0,69532,0.00039196014404296875,3,1,-138.97895607190395,4,96
0,69532,0.0003972053527832031,4,1,-89.05928371499121,4,96
0,69532,0.0004019737243652344,5,1,-105.18177685958742,4,96
0,69532,0.0004062652587890625,6,1,-109.19795746314955,4,96
0,69532,0.0004107952117919922,7,1,-122.01479101992112,4,96
0,69532,0.0004153251647949219,8,1,-135.1171819699971,4,96
0,69532,0.00041961669921875,9,1,-114.50511835829273,4,96
0,69532,0.0004239082336425781,10,1,-109.27337207101033,4,96
0,69532,0.0004284381866455078,11,1,-106.37513970862935,4,96
0,69532,0.00043320655822753906,12,1,-122.48272221404739,4,96
0,69532,0.00043773651123046875,13,1,-96.1590564340411,4,96
0,69532,0.00044226646423339844,14,1,-109.24278833812647,4,96
0,69532,0.0004467964172363281,15,1,-126.03706398370713,4,96
0,69532,0.0004508495330810547,16,1,-104.32096624108371,4,96
0,69532,0.0004551410675048828,17,1,-101.3541230707733,4,96
0,69532,0.00045990943908691406,18,1,-126.77557356516381,4,96
0,69532,0.00046443939208984375,19,1,-123.6907749465201,4,96
0,69532,0.00046896934509277344,20,1,-76.89532317659688,4,96
0,69532,0.0004734992980957031,21,1,-118.66906464715709,4,96
0,69532,0.0004780292510986328,22,1,-102.52977627779762,4,96
0,69532,0.0004825592041015625,23,1,-113.42098491917523,4,96
0,69532,0.0004870891571044922,24,1,-91.93472193313144,4,96
0,69532,0.0004916191101074219,25,1,-95.43345126504694,4,96
0,69532,0.00049591064453125,26,1,-114.1601704732195,4,96
0,69532,0.0005002021789550781,27,1,-132.20647197514128,4,96
0,69532,0.0005047321319580078,28,1,-122.73901462323238,4,96
0,69532,0.0005092620849609375,29,1,-123.29409198340437,4,96
0,69532,0.0005135536193847656,30,1,-104.1702766263692,4,96
0,69532,0.0005178451538085938,31,1,-118.1282336466935,4,96
0,69532,0.0005228519439697266,32,1,-117.06315428910389,4,96
0,69532,0.0005271434783935547,33,1,-103.8572308032039,4,96
0,69532,0.0005314350128173828,34,1,-108.36740906893984,4,96
0,69532,0.0005357265472412109,35,1,-116.84519695779743,4,96
0,69532,0.0005402565002441406,36,1,-110.59438424581002,4,96
0,69532,0.0005447864532470703,37,1,-104.04860798090817,4,96
0,69532,0.0005490779876708984,38,1,-103.13171040283034,4,96
0,69532,0.0005545616149902344,39,1,-106.63801074539501,4,96
0,69532,0.0005593299865722656,40,1,-124.47537395832725,4,96
0,69532,0.0005636215209960938,41,1,-110.12614925820097,4,96
0,69532,0.000568389892578125,42,1,-86.63948649932165,4,96
0,69532,0.0005726814270019531,43,1,-103.02884681482537,4,96
0,69532,0.0005769729614257812,44,1,-117.36163925073714,4,96
0,69532,0.0005812644958496094,45,1,-93.43713913142446,4,96
0,69532,0.0005857944488525391,46,1,-112.54711362405942,4,96
0,69532,0.0005900859832763672,47,1,-113.61903328265065,4,96
0,69532,0.0005943775177001953,48,1,-108.9836283430976,4,96
0,69532,0.0005986690521240234,49,1,-72.73563267326806,4,96
0,69532,0.0006041526794433594,50,1,-58.607138204978924,4,96
0,69532,0.0006084442138671875,51,1,-85.17846983789772,4,96
0,69532,0.0006127357482910156,52,1,-139.6209263278081,4,96
0,69532,0.0006172657012939453,53,1,-103.7901420015059,4,96
0,69532,0.0006213188171386719,54,1,-112.69505178564576,4,96
0,69532,0.0006256103515625,55,1,-106.97107389434534,4,96
0,69532,0.0006296634674072266,56,1,-101.3235070961321,4,96
0,69532,0.0006341934204101562,57,1,-102.19084404675807,4,96
0,69532,0.0006387233734130859,58,1,-100.84063865125854,4,96
0,69532,0.0006430149078369141,59,1,-104.27102556849407,4,96
0,69532,0.0006470680236816406,60,1,-109.36716600384635,4,96
0,69532,0.0006518363952636719,61,1,-118.6987439764156,4,96
0,69532,0.0006561279296875,62,1,-120.93624929203027,4,96
0,69532,0.0006604194641113281,63,1,-110.11447686244138,4,96
0,69532,0.0006647109985351562,64,1,-104.06955712130987,4,96
0,69532,0.0006692409515380859,65,1,-70.41382330866611,4,96
0,69532,0.0006735324859619141,66,1,-116.36985791792398,4,96
0,69532,0.0006775856018066406,67,1,-120.07156450265863,4,96
0,69532,0.0006821155548095703,68,1,-105.27877001355763,4,96
0,69532,0.0006864070892333984,69,1,-113.35942625526909,4,96
0,69532,0.0006906986236572266,70,1,-50.04908812977554,4,96
0,69532,0.0006947517395019531,71,1,-100.60475565739723,4,96
0,69532,0.0006990432739257812,72,1,-107.36047506683427,4,96
0,69532,0.0007035732269287109,73,1,-92.03348503915238,4,96
0,69532,0.0007076263427734375,74,1,-127.9905828183307,4,96
0,69532,0.0007119178771972656,75,1,-106.93241080527574,4,96
0,69532,0.0007159709930419922,76,1,-127.22953641417438,4,96
0,69532,0.0007212162017822266,77,1,-123.0516716815169,4,96
0,69532,0.0007255077362060547,78,1,-115.2434597038536,4,96
0,69532,0.0007300376892089844,79,1,-123.50770519629508,4,96
0,69532,0.0007345676422119141,80,1,-93.72675314118446,4,96
0,69532,0.0007386207580566406,81,1,-119.03813987557167,4,96
0,69532,0.0007429122924804688,82,1,-91.95088392657736,4,96
0,69532,0.0007472038269042969,83,1,-101.52939100237992,4,96
0,69532,0.000751495361328125,84,1,-88.85740541397216,4,96
0,69532,0.0007562637329101562,85,1,-109.7376875455918,4,96
0,69532,0.0007605552673339844,86,1,-101.44721961950115,4,96
