#{"t_start": 1620060565.8227866, "env_id": "CartPole-v0"}
r,l,t
14.0,14,0.027757
13.0,13,0.057249
22.0,22,0.099664
11.0,11,0.117616
24.0,24,0.160179
18.0,18,0.192597
22.0,22,0.23462
15.0,15,0.267727
19.0,19,0.310986
22.0,22,0.349129
9.0,9,0.365654
17.0,17,0.39943
30.0,30,0.450512
18.0,18,0.478232
20.0,20,0.522351
20.0,20,0.558287
17.0,17,0.589498
16.0,16,0.616957
43.0,43,0.687541
18.0,18,0.719894
22.0,22,0.754901
38.0,38,0.82024
24.0,24,0.862879
81.0,81,1.00043
22.0,22,1.036788
44.0,44,1.111702
100.0,100,1.296787
200.0,200,1.628736
128.0,128,1.844221
92.0,92,1.992637
200.0,200,2.340038
200.0,200,2.67836
155.0,155,2.944107
200.0,200,3.27333
200.0,200,3.605964
169.0,169,3.89899
153.0,153,4.153517
37.0,37,4.213939
134.0,134,4.433921
139.0,139,4.700375
174.0,174,5.007655
136.0,136,5.258773
200.0,200,5.602151
200.0,200,5.935839
174.0,174,6.21973
129.0,129,6.446666
164.0,164,6.724417
117.0,117,6.927736
98.0,98,7.096407
145.0,145,7.365131
22.0,22,7.401656
76.0,76,7.534811
26.0,26,7.577989
164.0,164,7.858008
146.0,146,8.12523
130.0,130,8.347177
69.0,69,8.461439
14.0,14,8.481337
173.0,173,8.797519
131.0,131,9.02963
49.0,49,9.111677
125.0,125,9.317938
134.0,134,9.545063
114.0,114,9.736052
121.0,121,9.954604
43.0,43,10.024572
38.0,38,10.093655
147.0,147,10.333438
119.0,119,10.545702
110.0,110,10.739395
163.0,163,11.013294
121.0,121,11.211138
125.0,125,11.412984
120.0,120,11.621475
193.0,193,11.937775
128.0,128,12.142102
148.0,148,12.402119
200.0,200,12.746485
200.0,200,13.078565
200.0,200,13.426509
200.0,200,13.755024
200.0,200,14.107491
200.0,200,14.43017
200.0,200,14.774986
116.0,116,14.976405
76.0,76,15.102624
112.0,112,15.288508
27.0,27,15.331836
35.0,35,15.38944
185.0,185,15.694031
200.0,200,16.032514
200.0,200,16.361913
118.0,118,16.5643
200.0,200,16.901258
200.0,200,17.228655
200.0,200,17.562683
200.0,200,17.900219
200.0,200,18.256711
200.0,200,18.626314
161.0,161,18.894589
102.0,102,19.068352
187.0,187,19.384345
105.0,105,19.557206
88.0,88,19.702225
192.0,192,20.047184
100.0,100,20.214016
78.0,78,20.341378
84.0,84,20.482989
70.0,70,20.599205
71.0,71,20.719348
56.0,56,20.828558
63.0,63,20.94317
71.0,71,21.062565
21.0,21,21.097092
50.0,50,21.18285
65.0,65,21.290852
43.0,43,21.364559
50.0,50,21.44777
22.0,22,21.483057
71.0,71,21.605601
