#{"t_start": 1620066727.8007774, "env_id": "BipedalWalker-v3"}
r,l,t
-121.733964,67,0.211291
-103.842037,69,0.428515
-132.603191,667,2.501754
-130.896755,194,3.110929
-115.207178,57,3.275481
-98.538765,99,3.561408
-102.971542,55,3.719416
-82.799484,1600,8.721121
-107.928754,80,8.967817
-109.111224,65,9.196609
-109.33011,92,9.460798
-109.930461,110,9.775655
-118.230511,178,10.309743
-108.857522,1600,15.212228
-105.241028,108,15.543325
-107.235306,69,15.73444
-119.506426,118,16.088175
-118.536588,129,16.489495
-103.069336,59,16.660748
-138.470614,575,18.401833
-106.546989,75,18.626841
-99.938581,81,18.858778
-104.701834,77,19.075077
-98.408333,86,19.34617
-102.037949,106,19.674304
-102.673765,84,19.931666
-101.449939,58,20.112697
-101.067342,49,20.27394
-104.309167,89,20.559173
-102.326733,64,20.746884
-103.506982,53,20.919858
-99.245871,90,21.25848
-99.590189,73,21.494411
-101.598208,66,21.704066
-133.706316,469,23.14658
-104.458462,69,23.354699
-104.02703,43,23.496553
-102.280765,52,23.665947
-103.729326,59,23.855503
-104.79315,60,24.043964
-104.616149,57,24.235204
-101.644289,56,24.412408
-105.860055,51,24.568561
-108.989095,51,24.740572
-106.467258,53,24.910976
-106.117019,70,25.134342
-101.627206,48,25.286928
-100.66112,57,25.471925
-106.593679,39,25.598598
-104.307941,48,25.759401
-105.381292,54,25.925141
-100.788156,61,26.1163
-104.366065,51,26.283948
-104.167619,66,26.488987
-107.10734,51,26.668294
-103.603783,50,26.834571
-104.510782,55,27.023067
-102.318455,81,27.309036
-100.82678,52,27.478647
-103.951943,49,27.634371
-103.231158,45,27.783435
-103.061417,54,27.951385
-104.012296,42,28.076641
-104.406459,42,28.213529
-100.459325,58,28.396629
-102.067034,48,28.547872
-101.89829,50,28.719838
-103.667843,49,28.883465
-102.444537,57,29.063273
-103.949735,48,29.223924
-103.043179,62,29.414496
-133.687947,439,30.811767
-137.112841,528,32.519604
-100.003808,65,32.722499
-105.689319,42,32.854594
-100.711089,55,33.037247
-101.565569,55,33.212723
-113.393252,72,33.455819
-102.570961,49,33.616391
-116.731537,90,33.894053
-106.2255,40,34.026997
-104.502656,45,34.172904
-105.209575,57,34.35328
-101.794126,52,34.523619
-104.887782,41,34.654665
-100.951747,72,34.88289
-98.035029,81,35.177764
-100.050156,84,35.457149
-103.133278,79,35.694205
-103.49437,55,35.873937
-103.153792,51,36.043151
-102.164214,52,36.203005
-102.589094,67,36.407515
-107.54113,112,36.750803
-110.489405,210,37.385045
-160.507708,918,40.092467
-100.939046,93,40.368531
-101.134294,80,40.660408
-135.919799,626,42.797787
-103.274201,49,42.968254
-102.027279,50,43.139852
-99.4922,64,43.340949
-102.171755,75,43.592542
-101.613378,64,43.801023
-100.571342,61,43.989494
-104.223815,61,44.174319
-98.184992,70,44.384408
-101.006784,66,44.617927
-102.948967,88,44.927255
-101.610353,92,45.314609
-104.804884,59,45.525049
-99.438392,97,45.87434
-98.703656,73,46.131531
-152.52483,648,48.155282
-199.283055,1502,52.662486
-104.310439,57,52.841282
-99.901513,67,53.095893
-104.935422,44,53.232228
-103.492481,46,53.390119
-102.490618,54,53.561738
-101.003091,64,53.751846
-101.161099,66,53.99885
-99.394067,67,54.21928
-105.177577,40,54.374351
-105.865707,51,54.538313
-108.173826,80,54.810194
-104.54303,65,55.065203
-105.234407,41,55.195326
-103.936208,69,55.41084
-103.650164,112,55.779042
-111.030315,208,56.519152
-98.81603,99,56.896035
-100.259475,57,57.087711
-101.705467,62,57.333327
-103.516052,50,57.551732
-112.14481,240,58.461066
-102.241057,60,58.689292
-98.197405,81,58.983132
-103.059836,51,59.237748
-101.778835,51,59.398951
-106.043663,38,59.558208
-100.493925,71,59.838196
-104.663822,55,60.07827
-104.859038,40,60.258288
-103.350011,55,60.48582
-105.649336,62,60.727921
-105.368717,58,60.937401
-107.080986,52,61.157547
-106.597065,68,61.430239
-118.718122,1600,67.06185
-105.139541,41,67.213047
-105.667736,39,67.354002
-102.577656,52,67.55325
-113.778828,90,67.831374
-103.752866,68,68.034867
-108.420683,154,68.525066
-164.165129,585,70.381451
-105.502041,45,70.522351
-106.49567,81,70.80881
-104.272971,51,70.974111
-105.593866,40,71.134419
-102.837257,49,71.286973
-103.270069,71,71.512182
-101.59762,76,71.755658
-105.716676,48,71.911528
-102.513498,53,72.094689
-99.971111,68,72.308311
-105.192594,38,72.442806
-104.45966,74,72.690513
-105.229826,60,72.890291
-102.164841,51,73.096996
-107.924024,46,73.241992
-105.365831,39,73.372129
-104.711249,46,73.509577
-153.555033,710,75.885557
-102.792069,62,76.084494
-109.271201,162,76.597536
-101.712729,57,76.792738
-123.075099,282,77.688627
-111.56751,251,78.564297
-116.713872,105,78.952095
-106.810892,42,79.097392
-101.462639,56,79.300574
-119.442822,188,79.938181
-106.069787,48,80.132106
-122.894394,1600,85.38546
-124.010134,368,86.476807
-103.531353,57,86.653468
-136.049225,196,87.285295
-149.148459,714,89.459942
-107.441067,65,89.654933
-105.422682,54,89.840603
-104.282861,70,90.064134
-106.178053,41,90.19308
-137.287736,440,91.535685
-102.880253,160,92.02063
-148.464083,602,93.879678
-104.017707,62,94.081928
-103.425612,69,94.309062
-105.577105,47,94.478482
-105.53079,48,94.63083
-104.16812,39,94.754251
-104.28227,49,94.935848
-106.068293,47,95.131213
-105.636064,39,95.26003
-103.155689,49,95.418347
-104.595555,35,95.536248
-102.190406,57,95.718918
-104.175763,62,95.928486
-106.117998,49,96.097747
-106.083694,36,96.219682
-105.004744,41,96.355258
-102.232836,52,96.534982
-111.164406,50,96.693764
-104.020453,52,96.91172
-113.317332,73,97.196799
-103.60236,54,97.378094
-158.620883,742,99.742743
-103.072018,46,99.887197
-104.203393,34,99.995068
-104.199254,44,100.142532
-103.475698,133,100.564185
-106.309334,54,100.746157
-105.743518,44,100.893268
-101.569125,85,101.191553
-104.48731,59,101.367722
-106.205517,55,101.549042
-102.216783,87,101.820189
-105.418522,45,101.965478
-105.81787,64,102.191435
-109.698598,48,102.339312
-103.58611,67,102.557152
-105.382377,76,102.792279
-114.909863,64,103.001107
-112.939021,132,103.444832
-104.539757,50,103.608131
-102.979124,78,103.843359
-102.013626,73,104.074434
-105.231175,72,104.296394
-103.153749,62,104.492792
-111.470492,73,104.723067
-101.239562,67,104.927021
-103.985421,47,105.078041
-101.838874,86,105.359114
-102.581235,97,105.649987
-104.917247,58,105.833447
-106.662376,49,106.005498
-104.145277,67,106.213791
-115.26148,102,106.542342
-101.180361,55,106.713343
-104.79606,42,106.841704
-102.894018,1600,111.622861
-105.390792,55,111.786984
-112.20763,1600,116.479283
-108.264126,52,116.629863
-107.951731,65,116.829704
-115.075309,1600,121.695569
-111.618013,107,122.012276
-108.989507,86,122.28378
-110.930533,75,122.503606
-105.574898,181,123.039576
-108.975609,46,123.176322
-106.065538,49,123.328491
-105.604888,40,123.449828
-119.664591,104,123.7623
-104.013831,83,124.001115
-119.5527,333,125.00151
-96.144014,1600,129.823009
-106.144418,53,129.983587
-104.916104,45,130.138567
-117.988041,1600,134.898384
-102.83086,68,135.099673
-105.079226,39,135.213369
-111.985137,1600,139.886258
-115.610122,1600,144.517107
-104.60389,51,144.66946
-112.281653,1600,149.448767
-110.510357,1600,154.182505
-118.829714,1600,158.869483
-103.545659,1600,163.671017
-108.064201,95,163.955906
-106.617261,42,164.07739
-108.246613,38,164.1887
-107.01021,51,164.33796
-105.397166,58,164.510436
-108.108551,68,164.702428
-104.742942,42,164.829447
-105.835558,39,164.945859
-104.340722,44,165.106035
-111.583816,67,165.308271
-105.363187,71,165.533889
-126.024776,358,166.608805
-105.777481,64,166.804674
-108.061773,52,166.970559
-117.917229,1600,171.750176
-106.600227,51,171.897881
-105.782895,37,172.002837
-116.478304,122,172.368302
